Date: 23-08-2014 08:43:49 PM IP: 115.185.204.223 User : cloudstrife Code: Thols Key �, Fixed: Thols Key , Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 08:43:49 PM IP: 115.185.204.223 User : cloudstrife Code: Thols Key �, Fixed: Thols Key , Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 08:54:40 PM IP: 106.221.130.26 User : vikashedge Code: Thols Key �, Fixed: Thols Key , Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 08:54:40 PM IP: 106.221.130.26 User : vikashedge Code: Thols Key �, Fixed: Thols Key , Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 08:57:24 PM IP: 117.200.85.191 User : vikashedge Code: Thols Key �, Fixed: Thols Key , Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 08:57:24 PM IP: 117.200.85.191 User : vikashedge Code: Thols Key �, Fixed: Thols Key , Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 09:43:42 PM IP: 64.39.111.93 User : Not loggedin Code: Home#<script>qjsobject.reportDOMXSS()</script>, Fixed: Home#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/auction-view.php
Date: 23-08-2014 09:46:35 PM IP: 64.39.111.93 User : Not loggedin Code: RB#<script>qjsobject.reportDOMXSS()</script>, Fixed: RB#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
Date: 23-08-2014 09:46:35 PM IP: 64.39.111.93 User : Not loggedin Code: Home#<script>qjsobject.reportDOMXSS()</script>, Fixed: Home#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
Date: 23-08-2014 09:46:36 PM IP: 64.39.111.93 User : Not loggedin Code: Crafting#<script>qjsobject.reportDOMXSS()</script>, Fixed: Crafting#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
Date: 23-08-2014 09:46:45 PM IP: 64.39.111.93 User : Not loggedin Code: Extra#<script>qjsobject.reportDOMXSS()</script>, Fixed: Extra#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
Date: 23-08-2014 09:46:50 PM IP: 64.39.111.93 User : Not loggedin Code: Necklace#<script>qjsobject.reportDOMXSS()</script>, Fixed: Necklace#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
Date: 23-08-2014 09:46:51 PM IP: 64.39.111.93 User : Not loggedin Code: Warrior Weapon#<script>qjsobject.reportDOMXSS()</script>, Fixed: Warrior Weapon#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
Date: 23-08-2014 09:46:57 PM IP: 64.39.111.93 User : Not loggedin Code: Mage Weapon#<script>qjsobject.reportDOMXSS()</script>, Fixed: Mage Weapon#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
Date: 23-08-2014 09:46:57 PM IP: 64.39.111.93 User : Not loggedin Code: HK Weapon#<script>qjsobject.reportDOMXSS()</script>, Fixed: HK Weapon#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
Date: 23-08-2014 09:47:01 PM IP: 64.39.111.93 User : Not loggedin Code: Archer Weapon#<script>qjsobject.reportDOMXSS()</script>, Fixed: Archer Weapon#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
Date: 23-08-2014 09:47:03 PM IP: 64.39.111.93 User : Not loggedin Code: Warrior Helmet#<script>qjsobject.reportDOMXSS()</script>, Fixed: Warrior Helmet#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
Date: 23-08-2014 09:47:03 PM IP: 64.39.111.93 User : Not loggedin Code: HK Helmet#<script>qjsobject.reportDOMXSS()</script>, Fixed: HK Helmet#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
Date: 23-08-2014 09:47:10 PM IP: 64.39.111.93 User : Not loggedin Code: Mage Helmet#<script>qjsobject.reportDOMXSS()</script>, Fixed: Mage Helmet#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
Date: 23-08-2014 09:47:11 PM IP: 64.39.111.93 User : Not loggedin Code: Archer Helmet#<script>qjsobject.reportDOMXSS()</script>, Fixed: Archer Helmet#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
Date: 23-08-2014 09:47:12 PM IP: 64.39.111.93 User : Not loggedin Code: Warrior Armor#<script>qjsobject.reportDOMXSS()</script>, Fixed: Warrior Armor#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
Date: 23-08-2014 09:49:16 PM IP: 64.39.111.93 User : Not loggedin Code: Mage Armor#<script>qjsobject.reportDOMXSS()</script>, Fixed: Mage Armor#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
Date: 23-08-2014 09:49:16 PM IP: 64.39.111.93 User : Not loggedin Code: HK Armor#<script>qjsobject.reportDOMXSS()</script>, Fixed: HK Armor#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
Date: 23-08-2014 09:49:27 PM IP: 64.39.111.93 User : Not loggedin Code: Warrior Pant#<script>qjsobject.reportDOMXSS()</script>, Fixed: Warrior Pant#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
Date: 23-08-2014 09:49:27 PM IP: 64.39.111.93 User : Not loggedin Code: Archer Armor#<script>qjsobject.reportDOMXSS()</script>, Fixed: Archer Armor#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
Date: 23-08-2014 09:49:29 PM IP: 64.39.111.93 User : Not loggedin Code: HK Pant#<script>qjsobject.reportDOMXSS()</script>, Fixed: HK Pant#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
Date: 23-08-2014 09:49:33 PM IP: 64.39.111.93 User : Not loggedin Code: Archer Pant#<script>qjsobject.reportDOMXSS()</script>, Fixed: Archer Pant#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
Date: 23-08-2014 09:49:33 PM IP: 64.39.111.93 User : Not loggedin Code: Mage Pant#<script>qjsobject.reportDOMXSS()</script>, Fixed: Mage Pant#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
Date: 23-08-2014 09:49:35 PM IP: 64.39.111.93 User : Not loggedin Code: Warrior Gloves#<script>qjsobject.reportDOMXSS()</script>, Fixed: Warrior Gloves#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
Date: 23-08-2014 09:49:38 PM IP: 64.39.111.93 User : Not loggedin Code: HK Gloves#<script>qjsobject.reportDOMXSS()</script>, Fixed: HK Gloves#scriptqjsobject.reportDOMXSS()/script, Link: http://www.a3ultimate.com/Stats/crafting-view.php
