Date: 27-07-2013 07:53:18 AM IP: 1.38.31.45 User : Not loggedin Code: 'a' or '1'='1', Fixed: a or 1=1, Link: http://acp.a3ultimate.com/login.php
Date: 27-07-2013 07:53:18 AM IP: 1.38.31.45 User : Not loggedin Code: 'a' or '1'='1', Fixed: a or 1=1, Link: http://acp.a3ultimate.com/login.php
Date: 27-07-2013 07:53:59 AM IP: 1.38.31.45 User : Not loggedin Code: 'a@gmail.com' or '1'='1', Fixed: a@gmail.com or 1=1, Link: http://acp.a3ultimate.com/login.php
Date: 27-07-2013 07:53:59 AM IP: 1.38.31.45 User : Not loggedin Code: 'a' or '1'='1', Fixed: a or 1=1, Link: http://acp.a3ultimate.com/login.php
Date: 27-07-2013 07:54:50 AM IP: 1.38.31.45 User : Not loggedin Code: 'a'or's'='s'@gmail.com, Fixed: aors=s@gmail.com, Link: http://acp.a3ultimate.com/login.php
Date: 27-07-2013 07:54:50 AM IP: 1.38.31.45 User : Not loggedin Code: 'a'or's'='s', Fixed: aors=s, Link: http://acp.a3ultimate.com/login.php
Date: 27-07-2013 07:55:50 AM IP: 1.38.31.45 User : Not loggedin Code: 'a'or's'='s', Fixed: aors=s, Link: http://acp.a3ultimate.com/login.php
Date: 27-07-2013 07:56:58 AM IP: 117.195.24.36 User : Not loggedin Code: 'a'or's'='s', Fixed: aors=s, Link: http://acp.a3ultimate.com/login.php
Date: 27-07-2013 07:57:51 AM IP: 1.38.31.45 User : Not loggedin Code: a'or's'='s, Fixed: aors=s, Link: http://acp.a3ultimate.com/login.php
Date: 27-07-2013 07:57:51 AM IP: 1.38.31.45 User : Not loggedin Code: a'or's'='s, Fixed: aors=s, Link: http://acp.a3ultimate.com/login.php
Date: 27-07-2013 07:58:16 AM IP: 1.38.31.45 User : Not loggedin Code: a' or 's'='s, Fixed: a or s=s, Link: http://acp.a3ultimate.com/login.php
Date: 27-07-2013 07:58:16 AM IP: 1.38.31.45 User : Not loggedin Code: a' or 's'='s, Fixed: a or s=s, Link: http://acp.a3ultimate.com/login.php
Date: 27-07-2013 07:58:17 AM IP: 117.195.24.36 User : Not loggedin Code: 'a'or's'='s', Fixed: aors=s, Link: http://acp.a3ultimate.com/login.php
Date: 27-07-2013 11:06:13 AM IP: 103.245.15.70 User : pritam Code: UPDATE CHARACTER INFO, Fixed:  CHARACTER INFO, Link: http://acp.a3ultimate.com/echar.php
Date: 27-07-2013 11:14:34 AM IP: 103.21.184.122 User : pritam Code: UPDATE ACCOUNT INFO, Fixed:  ACCOUNT INFO, Link: http://acp.a3ultimate.com/eacct.php
Date: 27-07-2013 11:16:10 AM IP: 103.21.184.122 User : pritam Code: UPDATE ACCOUNT INFO, Fixed:  ACCOUNT INFO, Link: http://acp.a3ultimate.com/eacct.php
Date: 27-07-2013 03:49:51 PM IP: 103.245.12.164 User : pritam Code: UPDATE ACCOUNT INFO, Fixed:  ACCOUNT INFO, Link: http://acp.a3ultimate.com/eacct.php
Date: 27-07-2013 04:29:53 PM IP: 103.245.12.164 User : pritam Code: UPDATE ACCOUNT INFO, Fixed:  ACCOUNT INFO, Link: http://acp.a3ultimate.com/eacct.php
Date: 27-07-2013 04:36:38 PM IP: 103.245.12.164 User : pritam Code: UPDATE CHARACTER INFO, Fixed:  CHARACTER INFO, Link: http://acp.a3ultimate.com/echar.php
Date: 27-07-2013 04:36:55 PM IP: 103.245.12.164 User : pritam Code: UPDATE CHARACTER INFO, Fixed:  CHARACTER INFO, Link: http://acp.a3ultimate.com/echar.php
Date: 27-07-2013 06:35:24 PM IP: 103.245.12.164 User : pritam Code: UPDATE CHARACTER INFO, Fixed:  CHARACTER INFO, Link: http://acp.a3ultimate.com/echar.php
