Date: 15-11-2014 12:04:47 AM  Account : adityabala User : HanumaN Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 15-11-2014 12:43:54 AM  Account : holylover User : Soulreaver Reward: 9774;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;32;1093;0; 
Date: 15-11-2014 12:44:33 AM  Account : Marshaltesco User : ArrowQueen Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 15-11-2014 01:55:02 AM  Account : kongfu User : Ninjaaa Reward: 9774;32;646454;0;, RB: 17, Item Used:9931 Item Replaced:9931;33;17;0; 
Date: 15-11-2014 02:33:33 AM  Account : adityabala User : HanumaN Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 15-11-2014 05:07:46 AM  Account : royalmbc User : Reccia Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 15-11-2014 12:39:27 PM  Account : vs1337 User : Caffeine Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 15-11-2014 12:48:48 PM  Account : Marshaltesco User : ArrowQueen Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 15-11-2014 12:53:03 PM  Account : anishrocks User : Image Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 15-11-2014 01:07:52 PM  Account : vs1337 User : Caffeine Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 15-11-2014 01:38:24 PM  Account : anishrocks User : Image Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 15-11-2014 02:21:53 PM  Account : sameer07 User : Sameer Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 15-11-2014 02:50:26 PM  Account : sameer07 User : Sameer Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 15-11-2014 02:54:16 PM  Account : adityabala User : HanumaN Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 15-11-2014 03:31:10 PM  Account : badpolice User : P0LICE Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 15-11-2014 06:05:29 PM  Account : Marshaltesco User : ArrowQueen Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 15-11-2014 07:00:28 PM  Account : rohan666 User : Demigod Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;33922;0; 
Date: 15-11-2014 07:44:39 PM  Account : sadhon00 User : Ultimateq Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;34;5;0; 
Date: 15-11-2014 08:47:49 PM  Account : anik002 User : Neonfight Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 15-11-2014 08:54:50 PM  Account : Marshaltesco User : ArrowQueen Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 15-11-2014 10:54:36 PM  Account : holylover User : Soulreaver Reward: 9774;32;646454;0;, RB: 17, Item Used:9931 Item Replaced:9931;32;17;0; 
Date: 15-11-2014 11:07:31 PM  Account : vs1337 User : Caffeine Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 15-11-2014 11:16:35 PM  Account : BHAIDON User : Rakhisavant Reward: -, RB: 2, Item Used:none Item Replaced:none 
