Date: 29-04-2015 07:45:26 AM  Account : badpolice User : Diedmage Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 29-04-2015 08:03:55 AM  Account : scarface User : Calyspo Reward: 9772;32;646454;0;, RB: 10, Item Used:9668 Item Replaced:9668;33;4;0; 
Date: 29-04-2015 08:59:21 AM  Account : pro2play1 User : Aese Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 29-04-2015 09:06:01 AM  Account : deadlyman User : Kannadiga Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 29-04-2015 09:44:59 AM  Account : bravesoul User : Dreamwalker Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;230518;0; 
Date: 29-04-2015 11:04:31 AM  Account : deadlyman User : Kannadiga Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 29-04-2015 11:55:43 AM  Account : hammer707 User : INDIANA Reward: 9773;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;33;17;0; 
Date: 29-04-2015 12:16:46 PM  Account : kingpapai User : Sweetaish Reward: 9774;32;646454;0;, RB: 18, Item Used:9690 Item Replaced:9690;33;4;0; 
Date: 29-04-2015 12:22:39 PM  Account : sumana User : Redalert Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 29-04-2015 12:49:12 PM  Account : kisu7796 User : Christopher Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 29-04-2015 01:28:08 PM  Account : deadlyman User : Kannadiga Reward: -, RB: 3, Item Used:none Item Replaced:none 
