Date: 02-08-2015 03:52:42 AM  Account : baskaran72 User : CuteARCHER Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 02-08-2015 04:07:11 AM  Account : jrk134353 User : ThalaThalapathi Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 02-08-2015 05:08:57 AM  Account : Raghav User : Mastery Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 02-08-2015 08:27:06 AM  Account : pro2play1 User : Lyne Reward: 9773;32;646454;0;, RB: 13, Item Used:9682 Item Replaced:9682;33;36545;0; 
Date: 02-08-2015 10:55:03 AM  Account : hhimanshu User : Archerrock Reward: 9773;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;33;33912;0; 
Date: 02-08-2015 12:24:29 PM  Account : suman38 User : Dredger Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 02-08-2015 01:30:10 PM  Account : suman38 User : Dredger Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 02-08-2015 01:42:12 PM  Account : dranking User : Glory Reward: 9773;32;646454;0;, RB: 12, Item Used:9681 Item Replaced:9681;33;33958;0; 
Date: 02-08-2015 02:58:00 PM  Account : suman38 User : Dredger Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 02-08-2015 04:00:40 PM  Account : musa12345 User : Creative Reward: 9774;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;33;33922;0; 
Date: 02-08-2015 04:30:47 PM  Account : suman38 User : Dredger Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 02-08-2015 04:38:11 PM  Account : rozer2292 User : Godgift Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;33;5;0; 
Date: 02-08-2015 06:11:22 PM  Account : clasher User : Devilance Reward: 9773;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;33;17;0; 
Date: 02-08-2015 08:24:33 PM  Account : suman38 User : Dredger Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 02-08-2015 08:43:00 PM  Account : mohitbvrs User : Coldfire Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 02-08-2015 09:40:38 PM  Account : abnoxi User : Willgod Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 02-08-2015 09:53:31 PM  Account : ashishkr User : Huntress Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 02-08-2015 10:06:50 PM  Account : pro2play1 User : Lyne Reward: 9773;32;646454;0;, RB: 14, Item Used:9683 Item Replaced:9683;33;36545;0; 
Date: 02-08-2015 10:56:25 PM  Account : sumanchandra User : Camros Reward: 9772;32;646454;0;, RB: 10, Item Used:9668 Item Replaced:9668;33;17;0; 
