Date: 09-08-2015 01:11:10 AM  Account : abnoxi User : Willgod Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 09-08-2015 07:38:38 AM  Account : KSSKSATH User : Hitlerkssk Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 09-08-2015 07:57:27 AM  Account : hhimanshu User : Archerrock Reward: 9774;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;33;4;0; 
Date: 09-08-2015 07:58:11 AM  Account : damnage User : Wardragon Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 09-08-2015 08:05:20 AM  Account : Hetalsexy User : DarkRider Reward: 9773;32;646454;0;, RB: 13, Item Used:9682 Item Replaced:9682;33;5153;0; 
Date: 09-08-2015 08:26:57 AM  Account : abnoxi User : Willgod Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 09-08-2015 08:41:16 AM  Account : damnage User : Wardragon Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 09-08-2015 09:46:08 AM  Account : etiquet User : Reborn Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 09-08-2015 10:26:26 AM  Account : damnage User : Wardragon Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 09-08-2015 10:36:02 AM  Account : rozer2292 User : Godgift Reward: 9773;32;646454;0;, RB: 11, Item Used:9669 Item Replaced:9669;33;5;0; 
Date: 09-08-2015 10:45:05 AM  Account : shiv8565 User : Jacksparoow Reward: 9774;32;646454;0;, RB: 17, Item Used:9931 Item Replaced:9931;33;17;0; 
Date: 09-08-2015 02:40:16 PM  Account : etiquet User : Reborn Reward: -, RB: 2, Item Used:none Item Replaced:none 
