Date: 30-12-2015 05:14:44 AM  Account : donbhai User : Iamkiller Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 30-12-2015 06:13:36 AM  Account : donbhai User : Iamkiller Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 30-12-2015 07:37:52 AM  Account : munuliki User : Elli Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 30-12-2015 07:57:33 AM  Account : donbhai User : Iamkiller Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 30-12-2015 11:35:37 AM  Account : donbhai User : Iamkiller Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 30-12-2015 12:09:21 PM  Account : donbhai User : Iamkiller Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 30-12-2015 03:25:29 PM  Account : austin User : Lastholy Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 30-12-2015 05:42:26 PM  Account : kaushik20 User : Raino Reward: 9773;32;646454;0;, RB: 13, Item Used:9682 Item Replaced:9682;33;14;0; 
Date: 30-12-2015 05:49:14 PM  Account : kaushik20 User : Raino Reward: 9773;32;646454;0;, RB: 14, Item Used:9683 Item Replaced:9683;33;9934;0; 
Date: 30-12-2015 05:55:41 PM  Account : Alpha11 User : Jackknight Reward: 9773;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;33;17;0; 
Date: 30-12-2015 05:58:07 PM  Account : tatd118 User : Matrix Reward: 9774;32;646454;0;, RB: 17, Item Used:9931 Item Replaced:9931;34;4;0; 
Date: 30-12-2015 08:31:12 PM  Account : ultipoison User : venomageUA Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 30-12-2015 08:38:51 PM  Account : uday2020 User : Killerx Reward: -, RB: 2, Item Used:none Item Replaced:none 
