Date: 05-02-2015 03:44:36 AM  Account : AdarshWAR User : Lilith Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 05-02-2015 04:31:51 AM  Account : AdarshWAR User : Lilith Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 05-02-2015 06:03:56 AM  Account : dinesh2 User : Anjalika Reward: 9773;32;646454;0;, RB: 14, Item Used:9683 Item Replaced:9683;33;5;0; 
Date: 05-02-2015 08:05:04 AM  Account : Akash26 User : Girlsexy Reward: 9772;32;646454;0;, RB: 6, Item Used:9645,9646 Item Replaced:9645;32;9646;0;9646;32;1159070751;1; 
Date: 05-02-2015 09:42:30 AM  Account : AdarshWAR User : Lilith Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 05-02-2015 01:32:03 PM  Account : hellman User : Shakti Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 05-02-2015 01:42:16 PM  Account : zealian User : Orchid Reward: 9772;32;646454;0;, RB: 9, Item Used:9666,9667 Item Replaced:9666;34;9667;0;9667;34;97387295;1; 
Date: 05-02-2015 02:26:47 PM  Account : coadmaster User : XtremeViruS Reward: 9773;32;646454;0;, RB: 12, Item Used:9681 Item Replaced:9681;33;9673;0; 
Date: 05-02-2015 04:27:36 PM  Account : AdarshWAR User : Lilith Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 05-02-2015 07:40:40 PM  Account : sagargurung User : WhiteFox Reward: 9774;32;646454;0;, RB: 17, Item Used:9931 Item Replaced:9931;33;17;0; 
Date: 05-02-2015 07:48:41 PM  Account : sagargurung User : WhiteFox Reward: 9774;32;646454;0;, RB: 18, Item Used:9690 Item Replaced:9690;33;17;0; 
Date: 05-02-2015 08:30:31 PM  Account : musa12345 User : Creative Reward: 9773;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;34;5;0; 
