Date: 12-01-2015 03:02:13 AM  Account : sumanchandra User : Avalon Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 12-01-2015 04:55:55 AM  Account : weeteck User : Metal Reward: 9772;32;646454;0;, RB: 6, Item Used:9645,9646 Item Replaced:9645;33;9646;0;9646;33;1084886031;1; 
Date: 12-01-2015 07:18:10 AM  Account : Skyfiiii User : Skyfi Reward: 9774;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;35;5;0; 
Date: 12-01-2015 07:44:47 AM  Account : holylover User : Soulreaver Reward: 9774;32;646454;0;, RB: 18, Item Used:9690 Item Replaced:9690;33;14;0; 
Date: 12-01-2015 08:12:49 AM  Account : piyush1 User : Scorpion Reward: 9774;32;646454;0;, RB: 17, Item Used:9931 Item Replaced:9931;33;5153;0; 
Date: 12-01-2015 08:25:22 AM  Account : shockwave User : Necrolysis Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 12-01-2015 11:02:40 AM  Account : Thegamer User : Brahmos Reward: 9774;32;646454;0;, RB: 17, Item Used:9931 Item Replaced:9931;33;17;0; 
Date: 12-01-2015 11:13:04 AM  Account : kingwarr User : Blaze Reward: 9774;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;33;17;0; 
Date: 12-01-2015 01:48:00 PM  Account : codemasterxv User : KingArcher Reward: 9774;32;646454;0;, RB: 17, Item Used:9931 Item Replaced:9931;33;33958;0; 
Date: 12-01-2015 04:17:36 PM  Account : itagvj User : Angelic Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 12-01-2015 05:42:27 PM  Account : mackwillarch User : Iezabel Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;17;0; 
Date: 12-01-2015 05:50:41 PM  Account : killer101 User : Jacqueline Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 12-01-2015 07:34:22 PM  Account : sumanchandra User : Avalon Reward: -, RB: 5, Item Used:none Item Replaced:none 
