Date: 16-01-2015 03:05:41 AM  Account : weeteck User : Metal Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;35;5;0; 
Date: 16-01-2015 05:33:33 AM  Account : uday2020 User : Shukanthi Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 16-01-2015 06:27:03 AM  Account : chandraa User : marryme Reward: 9772;32;646454;0;, RB: 10, Item Used:9668 Item Replaced:9668;33;9542;0; 
Date: 16-01-2015 08:19:51 AM  Account : rahul11 User : Ladyarcher Reward: 9774;32;646454;0;, RB: 17, Item Used:9931 Item Replaced:9931;34;9830;0; 
Date: 16-01-2015 10:23:27 AM  Account : staryeyed19 User : Jinchuriki Reward: 9774;32;646454;0;, RB: 17, Item Used:9931 Item Replaced:9931;33;33954;0; 
Date: 16-01-2015 10:54:31 AM  Account : vivek6193 User : Cruelty Reward: 9772;32;646454;0;, RB: 10, Item Used:9668 Item Replaced:9668;35;17;0; 
Date: 16-01-2015 01:02:09 PM  Account : zealian User : Orchid Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 16-01-2015 01:07:14 PM  Account : lionheart1 User : Psychokiller Reward: 9774;32;646454;0;, RB: 18, Item Used:9690 Item Replaced:9690;34;5;0; 
Date: 16-01-2015 01:19:55 PM  Account : piyush2 User : Gamora Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;34;;0; 
Date: 16-01-2015 01:52:37 PM  Account : krrishsuny User : Hellrusher Reward: 9773;32;646454;0;, RB: 12, Item Used:9681 Item Replaced:9681;33;;0; 
Date: 16-01-2015 01:54:47 PM  Account : mackwillarch User : Iezabel Reward: 9773;32;646454;0;, RB: 11, Item Used:9669 Item Replaced:9669;33;17;0; 
Date: 16-01-2015 02:12:28 PM  Account : Hercules User : Deadpool Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 16-01-2015 02:17:04 PM  Account : killer101 User : Jacqueline Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 16-01-2015 02:29:18 PM  Account : uday2020 User : Shukanthi Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 16-01-2015 02:44:20 PM  Account : lionheart1 User : Psychokiller Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 16-01-2015 02:51:44 PM  Account : zealian User : Orchid Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 16-01-2015 02:52:17 PM  Account : piyush2 User : Gamora Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;5;0; 
Date: 16-01-2015 02:58:16 PM  Account : B4bharath User : Olegario Reward: 9773;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;34;9826;0; 
Date: 16-01-2015 03:50:37 PM  Account : Hercules User : Deadpool Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 16-01-2015 04:03:46 PM  Account : killer101 User : Jacqueline Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 16-01-2015 04:44:58 PM  Account : mubarakrider User : MarD Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 16-01-2015 05:46:15 PM  Account : Arth1359 User : FreeWill Reward: 9772;32;646454;0;, RB: 10, Item Used:9668 Item Replaced:9668;34;5;0; 
Date: 16-01-2015 06:00:24 PM  Account : rustum531 User : Bambi Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 16-01-2015 07:41:23 PM  Account : nikhil359 User : Rapunziel Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 16-01-2015 08:11:31 PM  Account : ajay001 User : Littlebaby Reward: 9774;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;33;36541;0; 
Date: 16-01-2015 08:41:20 PM  Account : nikhil359 User : Rapunziel Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 16-01-2015 09:14:56 PM  Account : weeteck User : Metal Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;5;0; 
Date: 16-01-2015 11:06:48 PM  Account : darkest User : Hyper Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 16-01-2015 11:14:10 PM  Account : munnabhai User : Zuckerman Reward: -, RB: 5, Item Used:none Item Replaced:none 
