Date: 30-01-2015 12:55:32 AM  Account : deimisong User : Mattos Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;32;5;0; 
Date: 30-01-2015 06:18:28 AM  Account : qwerty User : Cyberdeepak Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 30-01-2015 07:41:31 AM  Account : ecmaker User : Dafqu Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 30-01-2015 11:40:57 AM  Account : swats1233 User : Darkcritfury Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 30-01-2015 02:10:15 PM  Account : ArthArch User : Arch Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 30-01-2015 03:07:48 PM  Account : neil007 User : Loverkid Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;35;17;0; 
Date: 30-01-2015 03:32:35 PM  Account : vishalpatel User : XtremeKnight Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 30-01-2015 03:58:50 PM  Account : gmbr123 User : Ceasefire Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 30-01-2015 04:28:58 PM  Account : Akash26 User : Girlsexy Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 30-01-2015 04:38:10 PM  Account : gmbr123 User : Ceasefire Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 30-01-2015 05:39:31 PM  Account : ArthArch User : Arch Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 30-01-2015 06:16:47 PM  Account : nitesh87 User : Maker Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 30-01-2015 06:34:18 PM  Account : mackwillarch User : Iezabel Reward: 9773;32;646454;0;, RB: 14, Item Used:9683 Item Replaced:9683;33;1190;0; 
Date: 30-01-2015 10:01:07 PM  Account : omer123in User : Mayhem Reward: 9774;32;646454;0;, RB: 17, Item Used:9931 Item Replaced:9931;33;17;0; 
Date: 30-01-2015 10:07:04 PM  Account : ctg70000 User : Beautifly Reward: 9774;32;646454;0;, RB: 17, Item Used:9931 Item Replaced:9931;33;17;0; 
Date: 30-01-2015 10:17:32 PM  Account : omer123in User : Mayhem Reward: 9774;32;646454;0;, RB: 18, Item Used:9690 Item Replaced:9690;33;17;0; 
