Date: 06-01-2015 02:44:28 AM  Account : 19staryeyed User : Staryeyed Reward: 9773;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;34;1069;0; 
Date: 06-01-2015 04:06:07 AM  Account : 19staryeyed User : Uzumakimito Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 06-01-2015 04:06:33 AM  Account : 19staryeyed User : Staryeyed Reward: 9774;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;33;9559;0; 
Date: 06-01-2015 04:26:01 AM  Account : dgenius123 User : Rougewar Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 06-01-2015 04:45:47 AM  Account : holylover User : Soulreaver Reward: 9773;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;33;231;0; 
Date: 06-01-2015 05:57:15 AM  Account : 19staryeyed User : Staryeyed Reward: 9774;32;646454;0;, RB: 17, Item Used:9931 Item Replaced:9931;33;9559;0; 
Date: 06-01-2015 08:03:42 AM  Account : goldenvikas User : Realking Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;33;5;0; 
Date: 06-01-2015 09:56:47 AM  Account : 19staryeyed User : Staryeyed Reward: 9774;32;646454;0;, RB: 18, Item Used:9690 Item Replaced:9690;35;5;0; 
Date: 06-01-2015 09:58:26 AM  Account : holylover User : Soulreaver Reward: 9774;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;33;231;0; 
Date: 06-01-2015 10:20:21 AM  Account : sonaliboll User : KnightKiller Reward: 9774;32;646454;0;, RB: 17, Item Used:9931 Item Replaced:9931;35;5;0; 
Date: 06-01-2015 10:40:45 AM  Account : holylover User : Soulreaver Reward: 9774;32;646454;0;, RB: 17, Item Used:9931 Item Replaced:9931;33;231;0; 
Date: 06-01-2015 11:33:47 AM  Account : ctg60002 User : Joey Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 06-01-2015 12:52:43 PM  Account : gentils User : Rebika Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;33;13;0; 
Date: 06-01-2015 01:33:45 PM  Account : jayesh55 User : H3llQu33N Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 06-01-2015 04:17:34 PM  Account : ctg60002 User : Joey Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 06-01-2015 04:45:18 PM  Account : ctg60002 User : Joey Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 06-01-2015 05:01:06 PM  Account : itagvj User : Angelic Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 06-01-2015 05:19:03 PM  Account : BHARATH123 User : Philips Reward: 9774;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;33;5;0; 
Date: 06-01-2015 06:34:29 PM  Account : rustum531 User : Bambi Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 06-01-2015 07:22:39 PM  Account : lusho29 User : Skyangel Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 06-01-2015 09:02:07 PM  Account : mrinmoy333 User : Blacky Reward: 9774;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;33;17;0; 
Date: 06-01-2015 09:19:52 PM  Account : beta15432 User : Kilingknight Reward: 9773;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;32;17;0; 
