Date: 22-07-2015 09:14:59 AM  Account : westernbe User : Solace Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 22-07-2015 10:56:15 AM  Account : samkirat User : Nazgul Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 22-07-2015 10:59:55 AM  Account : account User : Nawaab Reward: 9773;32;646454;0;, RB: 14, Item Used:9683 Item Replaced:9683;33;33958;0; 
Date: 22-07-2015 11:46:08 AM  Account : samkirat User : Nazgul Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 22-07-2015 11:59:32 AM  Account : abhiruls User : Sherlock Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;35;33913;0; 
Date: 22-07-2015 02:04:10 PM  Account : westernbe User : Solace Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 22-07-2015 03:32:12 PM  Account : samsung69 User : Somone Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 22-07-2015 04:47:09 PM  Account : samsung69 User : Somone Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 22-07-2015 05:13:02 PM  Account : rstar425 User : Kirsten Reward: 9773;32;646454;0;, RB: 13, Item Used:9682 Item Replaced:9682;33;33913;0; 
Date: 22-07-2015 05:57:37 PM  Account : samkirat User : Nazgul Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 22-07-2015 07:02:38 PM  Account : samkirat User : Nazgul Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 22-07-2015 08:03:23 PM  Account : rajever User : Hukka Reward: 9773;32;646454;0;, RB: 12, Item Used:9681 Item Replaced:9681;33;5;0; 
Date: 22-07-2015 08:54:15 PM  Account : samkirat User : Nazgul Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 22-07-2015 08:56:03 PM  Account : lalogirja User : SallsMan Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 22-07-2015 10:03:44 PM  Account : westernbe User : Solace Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 22-07-2015 10:04:01 PM  Account : sexiness User : Heisenberg Reward: -, RB: 2, Item Used:none Item Replaced:none 
