Date: 29-07-2015 05:02:53 AM  Account : bubai1995 User : Cleric Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 29-07-2015 07:26:21 AM  Account : holypunch User : Holypunch Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;9807;0; 
Date: 29-07-2015 07:29:57 AM  Account : vickyn User : Pannerrr Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 29-07-2015 07:50:38 AM  Account : hopunch User : Clorets Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 29-07-2015 10:40:43 AM  Account : rahulk User : Undeadmage Reward: 9773;32;646454;0;, RB: 13, Item Used:9682 Item Replaced:9682;32;5;0; 
Date: 29-07-2015 12:27:39 PM  Account : rozer2292 User : Godgift Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 29-07-2015 01:07:02 PM  Account : arjun00 User : Missmage Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 29-07-2015 01:55:26 PM  Account : rozer2292 User : Godgift Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 29-07-2015 02:02:51 PM  Account : kingwarr User : Blaze Reward: 9774;32;646454;0;, RB: 18, Item Used:9690 Item Replaced:9690;33;5;0; 
Date: 29-07-2015 02:43:35 PM  Account : rasputin1 User : Ladymage Reward: 9774;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;33;3335;0; 
Date: 29-07-2015 02:44:47 PM  Account : ashishin User : Insidious Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 29-07-2015 05:23:05 PM  Account : baskaran72 User : CuteARCHER Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 29-07-2015 06:28:38 PM  Account : boostkill User : Hunt Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;1190;0; 
Date: 29-07-2015 08:47:15 PM  Account : abhiruls User : Sherlock Reward: 9773;32;646454;0;, RB: 12, Item Used:9681 Item Replaced:9681;33;33913;0; 
Date: 29-07-2015 09:50:20 PM  Account : bubai1995 User : Cleric Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 29-07-2015 09:59:49 PM  Account : Hetalsexy User : DarkRider Reward: 9772;32;646454;0;, RB: 10, Item Used:9668 Item Replaced:9668;33;5176;0; 
Date: 29-07-2015 10:17:26 PM  Account : ashishin User : Insidious Reward: -, RB: 2, Item Used:none Item Replaced:none 
