Date: 14-06-2015 02:00:49 AM  Account : zaxidans User : Dynasty Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;32;5;0; 
Date: 14-06-2015 05:44:13 AM  Account : ecoinz01 User : Fatalia Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 14-06-2015 06:55:15 AM  Account : baskaran72 User : CuteARCHER Reward: 9773;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;35;9821;0; 
Date: 14-06-2015 06:56:23 AM  Account : ecoinz01 User : Fatalia Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 14-06-2015 08:49:34 AM  Account : rustum531 User : Bambii Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 14-06-2015 08:55:46 AM  Account : Aaravsexy User : Rico Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 14-06-2015 09:03:08 AM  Account : goldenvikas User : Theking Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;5;0; 
Date: 14-06-2015 10:21:44 AM  Account : xtrimist User : Cynthia Reward: 9772;32;646454;0;, RB: 10, Item Used:9668 Item Replaced:9668;33;17;0; 
Date: 14-06-2015 10:52:59 AM  Account : ecoinz01 User : Fatalia Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 14-06-2015 11:16:56 AM  Account : ultimatez User : Sansa Reward: 9773;32;646454;0;, RB: 11, Item Used:9669 Item Replaced:9669;33;17;0; 
Date: 14-06-2015 12:45:47 PM  Account : dranking User : Glory Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 14-06-2015 12:55:35 PM  Account : RoldanHk User : GoldenArrow Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 14-06-2015 01:47:36 PM  Account : Aaravsexy User : Rico Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 14-06-2015 10:09:30 PM  Account : tatd117 User : Magneta Reward: 9774;32;646454;0;, RB: 17, Item Used:9931 Item Replaced:9931;35;4;0; 
