Date: 19-06-2015 01:54:47 AM  Account : rajever User : Hukka Reward: 9772;32;646454;0;, RB: 6, Item Used:9645,9646 Item Replaced:9645;32;9646;0;9646;32;1523061599;1; 
Date: 19-06-2015 07:58:28 AM  Account : monu1r1 User : Superqueen Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;33;17;0; 
Date: 19-06-2015 08:29:34 AM  Account : omega1 User : Daenerys Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;32;33954;0; 
Date: 19-06-2015 08:35:22 AM  Account : monukumar1r1 User : Mestr Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 19-06-2015 12:00:29 PM  Account : badpolice User : Diedmage Reward: 9773;32;646454;0;, RB: 12, Item Used:9681 Item Replaced:9681;33;5;0; 
Date: 19-06-2015 12:52:42 PM  Account : l3ssness User : Nevertheless Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 19-06-2015 01:48:36 PM  Account : clasher User : Devilance Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 19-06-2015 02:49:16 PM  Account : rstar425 User : Kirsten Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 19-06-2015 03:35:42 PM  Account : zaxidan User : Archery Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 19-06-2015 07:45:48 PM  Account : baskaran72 User : CuteARCHER Reward: 9774;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;35;5;0; 
Date: 19-06-2015 07:46:35 PM  Account : clasher1 User : Darkknightz Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 19-06-2015 07:58:20 PM  Account : Popping User : Wardevil Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 19-06-2015 08:38:17 PM  Account : clasher1 User : Darkknightz Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 19-06-2015 08:56:17 PM  Account : bishnu User : Darkmaster Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;34;5;0; 
Date: 19-06-2015 08:58:35 PM  Account : KSSKSATH User : Hitlerkssk Reward: 9774;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;33;36274;0; 
Date: 19-06-2015 09:38:22 PM  Account : samrock98 User : Widhunterz Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 19-06-2015 10:11:53 PM  Account : chenlazy8 User : Arachen Reward: 9774;32;646454;0;, RB: 17, Item Used:9931 Item Replaced:9931;32;;0; 
Date: 19-06-2015 10:45:59 PM  Account : RoldanHk User : GoldenArrow Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;33;5176;0; 
