Date: 23-06-2015 04:40:38 AM  Account : rstar425 User : Kirsten Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;17;0; 
Date: 23-06-2015 09:19:37 AM  Account : tanooj619 User : Mysticterror Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 23-06-2015 11:28:12 AM  Account : sunyyy User : Xzone Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 23-06-2015 12:20:34 PM  Account : ashishkr User : Huntress Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 23-06-2015 02:51:01 PM  Account : shravank User : Doped Reward: 9773;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;33;5;0; 
Date: 23-06-2015 03:56:56 PM  Account : ashishkr User : Huntress Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 23-06-2015 06:40:15 PM  Account : ritesh123 User : Magearcena Reward: 9774;32;646454;0;, RB: 18, Item Used:9690 Item Replaced:9690;33;17;0; 
Date: 23-06-2015 06:52:19 PM  Account : l3ssness User : Nevertheless Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 23-06-2015 09:47:39 PM  Account : sumanchandra User : Camros Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 23-06-2015 10:30:57 PM  Account : ashishkr User : Huntress Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 23-06-2015 10:41:23 PM  Account : RoldanHk User : GoldenArrow Reward: 9772;32;646454;0;, RB: 10, Item Used:9668 Item Replaced:9668;33;5176;0; 
