Date: 03-06-2015 06:09:23 AM  Account : l3ssness User : Nevertheless Reward: 9773;32;646454;0;, RB: 12, Item Used:9681 Item Replaced:9681;32;33954;0; 
Date: 03-06-2015 07:13:56 AM  Account : ninjaaa User : Madarar Reward: 9772;32;646454;0;, RB: 10, Item Used:9668 Item Replaced:9668;33;5;0; 
Date: 03-06-2015 08:29:39 AM  Account : syzygy User : Cynosure Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 03-06-2015 09:00:52 AM  Account : banaraj User : Magegold Reward: 9773;32;646454;0;, RB: 11, Item Used:9669 Item Replaced:9669;33;5;0; 
Date: 03-06-2015 09:24:53 AM  Account : monu1r1 User : Superqueen Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 03-06-2015 10:45:25 AM  Account : shaivamin User : Catwoman Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 03-06-2015 11:15:02 AM  Account : joe007 User : Mojjo Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 03-06-2015 11:16:24 AM  Account : Raghav User : Mastery Reward: 9772;32;646454;0;, RB: 10, Item Used:9668 Item Replaced:9668;33;1186;0; 
Date: 03-06-2015 11:40:13 AM  Account : shaivamin User : Catwoman Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 03-06-2015 12:01:21 PM  Account : Aaravsexy User : Rico Reward: 9773;32;646454;0;, RB: 12, Item Used:9681 Item Replaced:9681;33;5;0; 
Date: 03-06-2015 12:23:48 PM  Account : shaivamin User : Catwoman Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 03-06-2015 01:02:42 PM  Account : zeus27 User : Redwitch Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 03-06-2015 01:03:52 PM  Account : zeus27 User : Redwitch Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 03-06-2015 01:07:23 PM  Account : tanooj316 User : Blueterror Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;4;0; 
Date: 03-06-2015 01:48:07 PM  Account : ritesh123 User : Magearcena Reward: 9773;32;646454;0;, RB: 13, Item Used:9682 Item Replaced:9682;33;17;0; 
Date: 03-06-2015 02:31:27 PM  Account : kingpapai User : Sweetaish Reward: 9773;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;33;4;0; 
Date: 03-06-2015 03:50:32 PM  Account : shaivamin User : Catwoman Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 03-06-2015 04:08:01 PM  Account : goldenvikas User : Theking Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 03-06-2015 04:12:36 PM  Account : monu1r1 User : Superqueen Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 03-06-2015 06:04:55 PM  Account : avisek User : Ghostdragon Reward: 9774;32;646454;0;, RB: 18, Item Used:9690 Item Replaced:9690;33;33922;0; 
Date: 03-06-2015 08:00:19 PM  Account : joe007 User : Mojjo Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 03-06-2015 08:37:25 PM  Account : vikashedge User : Vikram Reward: 9774;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;33;17;0; 
