Date: 17-03-2015 06:36:41 AM  Account : victory User : Jinn Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 17-03-2015 06:44:07 AM  Account : loldragon User : Knighthood Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-03-2015 06:48:03 AM  Account : mitchell User : Mitchell Reward: 9774;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;33;9826;0; 
Date: 17-03-2015 07:31:59 AM  Account : victory User : Jinn Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 17-03-2015 08:02:09 AM  Account : gmbr123 User : Ceasefire Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 17-03-2015 08:02:58 AM  Account : sumana User : Redalert Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;1136;0; 
Date: 17-03-2015 09:10:05 AM  Account : ctg70000 User : Beautifly Reward: 9773;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;33;17;0; 
Date: 17-03-2015 10:30:12 AM  Account : rahul1992 User : TuLTuL Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-03-2015 10:36:24 AM  Account : gmbr123 User : Ceasefire Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 17-03-2015 12:22:51 PM  Account : vjsmith User : Supersmith Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;33;1091;0; 
Date: 17-03-2015 01:52:11 PM  Account : mikeee User : Lone Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 17-03-2015 01:55:58 PM  Account : parth21 User : Swift Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 17-03-2015 02:21:22 PM  Account : rockers User : Revenger Reward: 9773;32;646454;0;, RB: 11, Item Used:9669 Item Replaced:9669;33;17;0; 
Date: 17-03-2015 03:04:26 PM  Account : archer02 User : Monsterslaye Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;35;17;0; 
Date: 17-03-2015 03:44:30 PM  Account : kiniboy User : Goosy Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 17-03-2015 04:04:55 PM  Account : gamers User : Notsoeasy Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-03-2015 04:40:11 PM  Account : gmbr123 User : Ceasefire Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 17-03-2015 04:51:39 PM  Account : mikeee User : Lone Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 17-03-2015 05:03:44 PM  Account : darkvoid User : AizenX Reward: 9774;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;33;17;0; 
Date: 17-03-2015 05:09:50 PM  Account : sam39575 User : Alexzandriya Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 17-03-2015 08:09:43 PM  Account : mitchell User : Mitchell Reward: 9774;32;646454;0;, RB: 17, Item Used:9931 Item Replaced:9931;33;33954;0; 
Date: 17-03-2015 09:00:11 PM  Account : monu9777 User : Lonelyheart Reward: 9773;32;646454;0;, RB: 11, Item Used:9669 Item Replaced:9669;33;1190;0; 
