Date: 02-03-2015 07:26:42 AM  Account : ctg70000 User : Beautifly Reward: 9772;32;646454;0;, RB: 9, Item Used:9666,9667 Item Replaced:9666;35;9667;0;9667;34;103022895;1; 
Date: 02-03-2015 07:35:48 AM  Account : kuleshmahata User : Alexina Reward: 9774;32;646454;0;, RB: 17, Item Used:9931 Item Replaced:9931;32;5;0; 
Date: 02-03-2015 07:54:18 AM  Account : piyush7 User : Hunterrxxx Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 02-03-2015 09:33:43 AM  Account : himanshum User : Archerfree Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 02-03-2015 10:22:37 AM  Account : Alphateem User : Shiny Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 02-03-2015 11:20:56 AM  Account : sivsud197 User : Wildmage Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 02-03-2015 12:35:00 PM  Account : Akash26 User : Girlsexy Reward: 9773;32;646454;0;, RB: 12, Item Used:9681 Item Replaced:9681;33;9684;0; 
Date: 02-03-2015 01:54:45 PM  Account : killbill User : Crackmind Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 02-03-2015 02:06:14 PM  Account : mayawr User : Hurculas Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 02-03-2015 02:55:31 PM  Account : kaushik30 User : Mekro Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 02-03-2015 03:25:26 PM  Account : sivsud197 User : Wildmage Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 02-03-2015 03:54:59 PM  Account : subha096 User : AngelBaby Reward: 9774;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;33;17;0; 
Date: 02-03-2015 08:04:23 PM  Account : royalmbc User : Reccia Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 02-03-2015 09:28:51 PM  Account : piyush7 User : Hunterrxxx Reward: -, RB: 4, Item Used:none Item Replaced:none 
