Date: 17-11-2015 03:33:39 AM  Account : wolverine User : Cloudarch Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-11-2015 05:22:29 AM  Account : wolverine User : Cloudarch Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 17-11-2015 06:26:16 AM  Account : Akash007 User : Khalnayak Reward: 9772;32;646454;0;, RB: 10, Item Used:9668 Item Replaced:9668;34;1162;0; 
Date: 17-11-2015 06:32:23 AM  Account : mannukuk User : Lallu Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-11-2015 06:47:08 AM  Account : wolverine User : Cloudarch Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 17-11-2015 08:08:07 AM  Account : mannukuk User : Lallu Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 17-11-2015 09:34:21 AM  Account : mannukuk User : Lallu Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 17-11-2015 10:54:35 AM  Account : kosmosis User : Kosmo Reward: 9773;32;646454;0;, RB: 13, Item Used:9682 Item Replaced:9682;33;17;0; 
Date: 17-11-2015 11:59:05 AM  Account : mannukuk User : Lallu Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 17-11-2015 01:26:47 PM  Account : mannukuk User : Lallu Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 17-11-2015 05:39:19 PM  Account : god250 User : Darksoulz Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;9807;0; 
Date: 17-11-2015 05:44:16 PM  Account : renjimax User : ShanK Reward: 9773;32;646454;0;, RB: 12, Item Used:9681 Item Replaced:9681;33;5;0; 
Date: 17-11-2015 05:47:21 PM  Account : wolverine User : Eadda Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-11-2015 06:28:19 PM  Account : wolverine User : Eadda Reward: -, RB: 2, Item Used:none Item Replaced:none 
