Date: 24-10-2015 12:50:36 AM  Account : royalmbc User : Reccia Reward: 9772;32;646454;0;, RB: 10, Item Used:9668 Item Replaced:9668;34;5;0; 
Date: 24-10-2015 04:01:29 AM  Account : pavanmaridi User : Ultrasonic Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 24-10-2015 04:50:21 AM  Account : pavanmaridi User : Ultrasonic Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 24-10-2015 06:49:44 AM  Account : coolsai User : Sinerita Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 24-10-2015 09:44:35 AM  Account : coolsai User : Sinerita Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 24-10-2015 11:42:41 AM  Account : AUTOBOTLYCAN User : Hellscream Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 24-10-2015 11:43:46 AM  Account : renjimax User : ShanK Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 24-10-2015 12:12:11 PM  Account : coolsai User : Sinerita Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 24-10-2015 04:08:12 PM  Account : royalmbc User : Reccia Reward: 9773;32;646454;0;, RB: 11, Item Used:9669 Item Replaced:9669;33;5;0; 
Date: 24-10-2015 09:10:05 PM  Account : Alpha11 User : Jackknight Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 24-10-2015 09:13:58 PM  Account : musapatel User : Musa Reward: 9773;32;646454;0;, RB: 12, Item Used:9681 Item Replaced:9681;33;1031;0; 
Date: 24-10-2015 11:53:14 PM  Account : IamSudip User : Whirlwind Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;5;0; 
