Date: 12-04-2016 08:13:16 AM  Account : letsrock1 User : Spoiler Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 12-04-2016 08:44:37 AM  Account : letsrock1 User : Spoiler Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 12-04-2016 09:19:00 AM  Account : letsrock1 User : Spoiler Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 12-04-2016 09:19:29 AM  Account : letsrock1 User : Spoiler Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 12-04-2016 09:19:54 AM  Account : letsrock1 User : Spoiler Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 12-04-2016 11:46:23 AM  Account : kronos54 User : Rina Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 12-04-2016 12:06:13 PM  Account : sahil8707 User : Warmistress Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 12-04-2016 12:07:33 PM  Account : piyush6 User : Queenlizaa Reward: 9773;32;646454;0;, RB: 13, Item Used:9682 Item Replaced:9682;33;5;0; 
Date: 12-04-2016 12:19:53 PM  Account : kisu7796 User : Chipermmage Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 12-04-2016 04:39:49 PM  Account : madhudk User : Weaponknight Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 12-04-2016 05:20:08 PM  Account : madhudk User : Weaponknight Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 12-04-2016 06:00:10 PM  Account : madhuking User : Beuatiful Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;34;2165;0; 
Date: 12-04-2016 08:37:57 PM  Account : piyush6 User : Queenlizaa Reward: 9773;32;646454;0;, RB: 14, Item Used:9683 Item Replaced:9683;33;5;0; 
Date: 12-04-2016 08:38:22 PM  Account : Tiger.sk User : Olivia Reward: -, RB: 4, Item Used:none Item Replaced:none 
