Date: 26-04-2016 06:37:03 AM  Account : raviii121 User : Nightangel Reward: 9772;32;646454;0;, RB: 9, Item Used:9666,9667 Item Replaced:9666;35;9667;0;9667;33;44309040;1; 
Date: 26-04-2016 07:15:41 AM  Account : kisu7796 User : Lonelyarcher Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 26-04-2016 07:26:33 AM  Account : choco1234 User : Thebadshah Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 26-04-2016 07:46:44 AM  Account : kisu7796 User : Lonelyarcher Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 26-04-2016 07:55:43 AM  Account : choco1234 User : Thebadshah Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 26-04-2016 08:41:03 AM  Account : choco1234 User : Thebadshah Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 26-04-2016 09:47:00 AM  Account : letsrock1 User : Spoiler Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 26-04-2016 09:47:21 AM  Account : letsrock1 User : Spoiler Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 26-04-2016 11:28:52 AM  Account : Pranav100 User : Rulezz Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 26-04-2016 01:10:22 PM  Account : Pranav100 User : Rulezz Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 26-04-2016 01:31:01 PM  Account : themd1 User : Themd Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 26-04-2016 01:44:54 PM  Account : Pranav100 User : Rulezz Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 26-04-2016 05:55:44 PM  Account : rdpaul23 User : Navicut Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 26-04-2016 05:59:05 PM  Account : amit009 User : Drukenarrow Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 26-04-2016 06:18:12 PM  Account : rdpaul23 User : Navicut Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 26-04-2016 06:22:35 PM  Account : amit009 User : Drukenarrow Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 26-04-2016 08:50:58 PM  Account : themd1 User : Themd Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 26-04-2016 08:54:40 PM  Account : thehulk User : Birdman Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 26-04-2016 09:23:04 PM  Account : thehulk User : Birdman Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 26-04-2016 11:51:09 PM  Account : amit009 User : Drukenarrow Reward: -, RB: 3, Item Used:none Item Replaced:none 
