Date: 09-12-2016 08:23:02 AM  Account : krishna14 User : Hearmit Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 09-12-2016 08:23:39 AM  Account : aatank User : Aatank Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 09-12-2016 08:24:39 AM  Account : bravo15 User : Kinger Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 09-12-2016 08:24:58 AM  Account : mrcool User : Mrcooll Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 09-12-2016 08:25:22 AM  Account : talati User : Aarya Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 09-12-2016 08:25:51 AM  Account : rushi1 User : Rushi Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 09-12-2016 08:26:20 AM  Account : aatmaTM User : Aatma Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 09-12-2016 08:26:38 AM  Account : golimar User : Krok Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 09-12-2016 08:26:58 AM  Account : rajyog User : Kisser Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 09-12-2016 08:27:22 AM  Account : coverner User : Coverner Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 09-12-2016 10:07:20 AM  Account : sagar95 User : Sensiusarrow Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 09-12-2016 10:28:04 AM  Account : evilrobot User : Evilrobot Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 09-12-2016 06:35:20 PM  Account : tarun0154 User : Badasssss Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 09-12-2016 08:58:16 PM  Account : jaredrag User : Eviscerate Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 09-12-2016 09:48:29 PM  Account : jaredrag User : Eviscerate Reward: -, RB: 5, Item Used:none Item Replaced:none 
