Date: 20-02-2016 03:36:09 AM  Account : ravigoyo User : Thehunter Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;5;0; 
Date: 20-02-2016 12:17:09 PM  Account : muhahaha User : Evilarcher Reward: 9773;32;646454;0;, RB: 12, Item Used:9681 Item Replaced:9681;35;33913;0; 
Date: 20-02-2016 12:19:20 PM  Account : crystal User : Magegame Reward: 9772;32;646454;0;, RB: 10, Item Used:9668 Item Replaced:9668;33;17;0; 
Date: 20-02-2016 12:25:54 PM  Account : raviii12 User : Mindgame Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;9667;0; 
Date: 20-02-2016 12:30:35 PM  Account : chirag User : Thorengame Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 20-02-2016 12:50:21 PM  Account : chirag User : Thorengame Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 20-02-2016 02:36:11 PM  Account : piyush6 User : Queenlizaa Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 20-02-2016 02:39:53 PM  Account : flam123 User : Darkemperorr Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 20-02-2016 02:44:17 PM  Account : piyush4 User : Princesss Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 20-02-2016 03:10:26 PM  Account : blacklisted User : DeadlyDoN Reward: 9773;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;33;5;0; 
Date: 20-02-2016 05:06:12 PM  Account : kisann User : Nitrox Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 20-02-2016 05:38:24 PM  Account : akashni User : Nasa Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 20-02-2016 10:08:59 PM  Account : u57jcs User : SweetHeart Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;;0; 
