Date: 23-02-2016 02:40:38 AM  Account : dragonblastz User : Dartsecret Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 23-02-2016 04:19:50 AM  Account : suvo95 User : Missuniverse Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 23-02-2016 08:18:22 AM  Account : yash18495 User : Archu Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 23-02-2016 10:10:48 AM  Account : crystal User : Magegame Reward: 9773;32;646454;0;, RB: 11, Item Used:9669 Item Replaced:9669;33;5;0; 
Date: 23-02-2016 10:16:45 AM  Account : gladiatorxxx User : LittleStar Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 23-02-2016 10:48:12 AM  Account : wolfpoison User : Aragorn Reward: 9774;32;646454;0;, RB: 18, Item Used:9690 Item Replaced:9690;35;17;0; 
Date: 23-02-2016 11:11:28 AM  Account : Tiger.sk User : Olivia Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 23-02-2016 11:16:33 AM  Account : piyush3 User : Darksider Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 23-02-2016 12:07:08 PM  Account : ravigamer User : Icegame Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 23-02-2016 12:33:17 PM  Account : ravigamer User : Icegame Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 23-02-2016 12:56:27 PM  Account : ramps1432 User : Rangemage Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 23-02-2016 01:08:14 PM  Account : ravigamer User : Icegame Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 23-02-2016 02:44:55 PM  Account : vishnuv007 User : Himura Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 23-02-2016 03:58:59 PM  Account : argdut88 User : ZeusKnight Reward: 9773;32;646454;0;, RB: 13, Item Used:9682 Item Replaced:9682;34;5;0; 
Date: 23-02-2016 04:08:20 PM  Account : akashn User : Loveaa Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 23-02-2016 04:37:36 PM  Account : ramps1432 User : Rangemage Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 23-02-2016 04:39:43 PM  Account : ravigamer User : Icegame Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 23-02-2016 05:19:55 PM  Account : ramps1432 User : Rangemage Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 23-02-2016 05:20:29 PM  Account : ravigamer User : Icegame Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 23-02-2016 05:48:54 PM  Account : crystal User : Magegame Reward: 9773;32;646454;0;, RB: 12, Item Used:9681 Item Replaced:9681;33;5;0; 
Date: 23-02-2016 08:34:27 PM  Account : rad247 User : Radhk Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;5;0; 
Date: 23-02-2016 08:38:50 PM  Account : Kelsier User : Shadzzzz Reward: 9772;32;646454;0;, RB: 10, Item Used:9668 Item Replaced:9668;35;17;0; 
Date: 23-02-2016 08:46:47 PM  Account : ramps1432 User : Rangemage Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 23-02-2016 09:21:57 PM  Account : wwweee User : Stormsprit Reward: 9773;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;33;34941;0; 
