Date: 07-02-2016 01:17:09 AM  Account : Fonezone User : SriSai Reward: 9773;32;646454;0;, RB: 13, Item Used:9682 Item Replaced:9682;35;17;0; 
Date: 07-02-2016 01:39:59 AM  Account : Fonezone User : SriSai Reward: 9773;32;646454;0;, RB: 14, Item Used:9683 Item Replaced:9683;33;17;0; 
Date: 07-02-2016 01:45:38 AM  Account : Fonezone User : SriSai Reward: 9773;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;33;17;0; 
Date: 07-02-2016 04:08:10 AM  Account : memoryvn User : Alibabonvn Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 07-02-2016 06:44:50 AM  Account : argdut88 User : ZeusKnight Reward: 9774;32;646454;0;, RB: 17, Item Used:9931 Item Replaced:9931;33;5;0; 
Date: 07-02-2016 07:26:44 AM  Account : shital User : Turbocharger Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 07-02-2016 07:37:01 AM  Account : random User : Holygame Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 07-02-2016 07:41:36 AM  Account : crystal User : Magegame Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 07-02-2016 07:47:26 AM  Account : shital User : Turbocharger Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 07-02-2016 09:57:19 AM  Account : crystal User : Magegame Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 07-02-2016 10:11:38 AM  Account : shital User : Turbocharger Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 07-02-2016 12:31:36 PM  Account : shiv8565 User : Jacksparoow Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 07-02-2016 12:41:11 PM  Account : memoryvn1 User : Alibababa Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 07-02-2016 01:00:55 PM  Account : argdut88 User : ZeusKnight Reward: 9774;32;646454;0;, RB: 18, Item Used:9690 Item Replaced:9690;35;5;0; 
Date: 07-02-2016 01:16:08 PM  Account : tatd118 User : Matrix Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 07-02-2016 01:52:06 PM  Account : staryeyed19 User : Jinchuriki Reward: 9774;32;646454;0;, RB: 18, Item Used:9690 Item Replaced:9690;33;5;0; 
Date: 07-02-2016 01:55:19 PM  Account : darkmars User : Langame Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 07-02-2016 02:34:10 PM  Account : darkmars User : Langame Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 07-02-2016 03:19:45 PM  Account : shiv8565 User : Jacksparoow Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 07-02-2016 03:22:08 PM  Account : overdoze User : Strider Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 07-02-2016 04:09:38 PM  Account : vishnuv007 User : Himura Reward: 9774;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;35;17;0; 
Date: 07-02-2016 04:15:22 PM  Account : tatd118 User : Matrix Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 07-02-2016 04:23:35 PM  Account : memoryvn1 User : Alibababa Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 07-02-2016 05:00:00 PM  Account : argdut88 User : ZeusKnight Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 07-02-2016 05:30:53 PM  Account : crystal User : Magegame Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 07-02-2016 05:31:08 PM  Account : shiv8565 User : Jacksparoow Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 07-02-2016 06:20:29 PM  Account : darkmars User : Langame Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 07-02-2016 07:33:59 PM  Account : SHOOTER User : Satana Reward: 9773;32;646454;0;, RB: 11, Item Used:9669 Item Replaced:9669;33;9550;0; 
