Date: 01-01-2016 08:23:15 AM  Account : austin User : Lastholy Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 01-01-2016 08:37:26 AM  Account : austin2 User : Ilana Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;32;5;0; 
Date: 01-01-2016 09:40:13 AM  Account : rohithbm User : Krazzykat Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 01-01-2016 10:41:54 AM  Account : munuliki User : Elli Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 01-01-2016 11:19:54 AM  Account : austin2 User : Ilana Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;32;5;0; 
Date: 01-01-2016 04:49:04 PM  Account : founder User : Darkphoenix Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 01-01-2016 07:43:44 PM  Account : Alpha11 User : Jackknight Reward: 9774;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;33;17;0; 
Date: 01-01-2016 08:07:24 PM  Account : knight89 User : Cler Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 01-01-2016 08:15:46 PM  Account : SHOOTER User : Satana Reward: 9773;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;34;;0; 
Date: 01-01-2016 08:17:30 PM  Account : uday2020 User : Killerx Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 01-01-2016 08:40:34 PM  Account : ultipoison User : venomageUA Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 01-01-2016 09:41:10 PM  Account : ultipoison User : venomageUA Reward: -, RB: 5, Item Used:none Item Replaced:none 
