Date: 25-06-2016 01:49:16 AM  Account : immortal User : Heka Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 25-06-2016 03:55:27 AM  Account : dagar1989 User : Adria Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;35;17;0; 
Date: 25-06-2016 04:50:39 AM  Account : aladin User : Anglela Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 25-06-2016 05:31:22 AM  Account : zaza2033 User : Maduza Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 25-06-2016 08:23:49 AM  Account : nktjarch User : Opeth Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;34;17;0; 
Date: 25-06-2016 08:46:33 AM  Account : lycklycc User : Lycck Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;17;0; 
Date: 25-06-2016 10:58:45 AM  Account : noob98 User : Annabelle Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;33;4;0; 
Date: 25-06-2016 11:04:33 AM  Account : navneetxn User : Kaali Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;5;0; 
Date: 25-06-2016 11:42:32 AM  Account : faceless7 User : Bunny Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 25-06-2016 12:34:37 PM  Account : faceless7 User : Bunny Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 25-06-2016 12:35:45 PM  Account : Anjali User : Sparrowjack Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 25-06-2016 12:45:42 PM  Account : sourav91 User : Arrowsfight Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 25-06-2016 01:23:46 PM  Account : raja610 User : Carlsbarg Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;33;5;0; 
Date: 25-06-2016 04:57:04 PM  Account : rahul22 User : Eko Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;34;1136;0; 
Date: 25-06-2016 05:07:49 PM  Account : nktjarch User : Opeth Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;34;17;0; 
Date: 25-06-2016 06:46:33 PM  Account : Banani User : Jarberaa Reward: 9772;32;646454;0;, RB: 10, Item Used:9668 Item Replaced:9668;33;17;0; 
Date: 25-06-2016 07:12:34 PM  Account : sourav91 User : Arrowsfight Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 25-06-2016 11:01:15 PM  Account : madmax112 User : Akudo Reward: 9772;32;646454;0;, RB: 10, Item Used:9668 Item Replaced:9668;34;5;0; 
