Date: 20-03-2016 04:32:37 AM  Account : raviii121 User : Nightangel Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 20-03-2016 07:14:28 AM  Account : blacklisted User : DeadlyDoN Reward: 9774;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;33;5;0; 
Date: 20-03-2016 08:11:08 AM  Account : crystal User : Magegame Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 20-03-2016 09:37:09 AM  Account : raviii121 User : Nightangel Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 20-03-2016 09:59:08 AM  Account : lionheart1 User : Psychokiller Reward: 9772;32;646454;0;, RB: 10, Item Used:9668 Item Replaced:9668;33;5;0; 
Date: 20-03-2016 10:10:44 AM  Account : rimal7 User : Mageof Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 20-03-2016 10:40:03 AM  Account : Sandy444 User : Athenaaa Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;33;5;0; 
Date: 20-03-2016 10:46:21 AM  Account : piyush6 User : Queenlizaa Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 20-03-2016 12:48:58 PM  Account : piyush6 User : Queenlizaa Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 20-03-2016 02:22:29 PM  Account : harrypotter User : NameLesS Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 20-03-2016 02:46:07 PM  Account : blacklisted User : DeadlyDoN Reward: 9774;32;646454;0;, RB: 17, Item Used:9931 Item Replaced:9931;33;5;0; 
Date: 20-03-2016 05:25:55 PM  Account : Arohany User : Mortal Reward: -, RB: 1, Item Used:none Item Replaced:none 
