Date: 03-05-2016 05:35:58 AM  Account : fearsome User : Fantasymage Reward: 9772;32;646454;0;, RB: 9, Item Used:9666,9667 Item Replaced:9666;34;9667;0;9667;35;45613888;1; 
Date: 03-05-2016 05:49:07 AM  Account : Tiger.sk User : Olivia Reward: 9772;32;646454;0;, RB: 10, Item Used:9668 Item Replaced:9668;33;17;0; 
Date: 03-05-2016 08:39:55 AM  Account : letsrock3 User : Kreizi Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 03-05-2016 08:40:25 AM  Account : letsrock3 User : Kreizi Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 03-05-2016 08:40:46 AM  Account : letsrock3 User : Kreizi Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 03-05-2016 08:41:09 AM  Account : letsrock3 User : Kreizi Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 03-05-2016 08:41:27 AM  Account : letsrock3 User : Kreizi Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 03-05-2016 08:48:34 AM  Account : letsrock1 User : Spoiler Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 03-05-2016 11:35:07 AM  Account : koyta143 User : Bounty Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 03-05-2016 01:32:31 PM  Account : manojkuk User : Indianwomen Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 03-05-2016 02:37:39 PM  Account : manojkuk User : Indianwomen Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 03-05-2016 03:38:24 PM  Account : gamemaster User : Devilhealer Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 03-05-2016 05:01:37 PM  Account : bhupirana User : Leena Reward: 9773;32;646454;0;, RB: 11, Item Used:9669 Item Replaced:9669;33;17;0; 
Date: 03-05-2016 07:04:58 PM  Account : hongsong User : Kimiko Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;35;17;0; 
Date: 03-05-2016 07:16:05 PM  Account : Tiger.sk User : Olivia Reward: 9773;32;646454;0;, RB: 11, Item Used:9669 Item Replaced:9669;33;17;0; 
Date: 03-05-2016 09:04:07 PM  Account : theshadow User : Nestle Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 03-05-2016 09:18:57 PM  Account : shubhada User : Sagar Reward: 9773;32;646454;0;, RB: 12, Item Used:9681 Item Replaced:9681;33;33910;0; 
Date: 03-05-2016 09:21:40 PM  Account : blackmage User : Precioso Reward: 9773;32;646454;0;, RB: 11, Item Used:9669 Item Replaced:9669;33;17;0; 
Date: 03-05-2016 09:29:51 PM  Account : theshadow User : Nestle Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 03-05-2016 09:30:17 PM  Account : blackmage User : Precioso Reward: 9773;32;646454;0;, RB: 12, Item Used:9681 Item Replaced:9681;33;17;0; 
