Date: 14-11-2016 06:03:11 AM  Account : shyamu88 User : Grinitia Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 14-11-2016 06:25:50 AM  Account : ghumen User : Caitlyn Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 14-11-2016 06:59:15 AM  Account : ghost2016 User : Nouvo Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 14-11-2016 08:09:52 AM  Account : dipudon User : Ddon Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 14-11-2016 10:53:32 AM  Account : chanchan User : Blindshot Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 14-11-2016 11:39:38 AM  Account : blowjob02 User : Qroxz Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 14-11-2016 04:04:11 PM  Account : Sanojch User : Kingoo Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 14-11-2016 06:09:48 PM  Account : chanchan User : Blindshot Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 14-11-2016 06:27:23 PM  Account : Gowttham User : Draceagle Reward: 9773;32;646454;0;, RB: 13, Item Used:9682 Item Replaced:9682;33;4;0; 
Date: 14-11-2016 07:39:12 PM  Account : ritesh User : Doomranger Reward: 9773;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;33;17;0; 
Date: 14-11-2016 08:49:13 PM  Account : Royalstar User : Prabhas Reward: 9772;32;646454;0;, RB: 10, Item Used:9668 Item Replaced:9668;33;17;0; 
Date: 14-11-2016 11:29:52 PM  Account : wargasm User : Rudradaman Reward: 9773;32;646454;0;, RB: 13, Item Used:9682 Item Replaced:9682;33;33930;0; 
