Date: 24-11-2016 12:59:21 AM  Account : wargasm User : Rudradaman Reward: 9773;32;646454;0;, RB: 14, Item Used:9683 Item Replaced:9683;34;33930;0; 
Date: 24-11-2016 05:34:08 AM  Account : saman11 User : Darkthor Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 24-11-2016 10:58:26 AM  Account : 333god User : Janet Reward: 9773;32;646454;0;, RB: 13, Item Used:9682 Item Replaced:9682;33;5;0; 
Date: 24-11-2016 11:10:30 AM  Account : blacklisted User : DeadlyDoN Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 24-11-2016 11:53:37 AM  Account : raja610 User : Carlsbarg Reward: 9773;32;646454;0;, RB: 14, Item Used:9683 Item Replaced:9683;33;17;0; 
Date: 24-11-2016 11:53:45 AM  Account : Banani User : Jarberaa Reward: 9773;32;646454;0;, RB: 12, Item Used:9681 Item Replaced:9681;33;33958;0; 
Date: 24-11-2016 12:04:46 PM  Account : ankitdesai User : CHaRsHi Reward: 9773;32;646454;0;, RB: 12, Item Used:9681 Item Replaced:9681;33;9542;0; 
Date: 24-11-2016 12:14:35 PM  Account : Gowttham User : Draceagle Reward: 9774;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;33;4;0; 
Date: 24-11-2016 12:16:42 PM  Account : ritesh12 User : Bluebone Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 24-11-2016 01:04:05 PM  Account : Royalstar User : Prabhas Reward: 9773;32;646454;0;, RB: 14, Item Used:9683 Item Replaced:9683;33;17;0; 
Date: 24-11-2016 02:59:34 PM  Account : another1 User : Melania Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 24-11-2016 04:04:49 PM  Account : another1 User : Melania Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 24-11-2016 04:51:21 PM  Account : another1 User : Melania Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 24-11-2016 05:33:54 PM  Account : dibesh User : Badrobot Reward: -, RB: 2, Item Used:none Item Replaced:none 
