Date: 11-10-2016 06:41:00 AM  Account : beast619 User : Oppe Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 11-10-2016 06:44:17 AM  Account : alioth User : Moneymaiden Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;5;0; 
Date: 11-10-2016 08:47:23 AM  Account : Coldsteel User : Drunknmaster Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 11-10-2016 12:24:09 PM  Account : tejeshpatil2 User : Tenchanter Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 11-10-2016 12:41:02 PM  Account : sanjay User : Archerhero Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 11-10-2016 02:41:48 PM  Account : ritesh User : Doomranger Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 11-10-2016 05:08:09 PM  Account : sanxxx User : Redruby Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 11-10-2016 06:05:17 PM  Account : tejeshpatil2 User : Tenchanter Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 11-10-2016 07:58:05 PM  Account : youngmoney13 User : MaYa Reward: 9773;32;646454;0;, RB: 12, Item Used:9681 Item Replaced:9681;33;33958;0; 
Date: 11-10-2016 09:05:22 PM  Account : sanxxx User : Redruby Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 11-10-2016 11:10:45 PM  Account : warriour User : Triger Reward: 9774;32;646454;0;, RB: 17, Item Used:9931 Item Replaced:9931;33;17;0; 
Date: 11-10-2016 11:25:56 PM  Account : pro2play1 User : Lyne Reward: 9774;32;646454;0;, RB: 18, Item Used:9690 Item Replaced:9690;33;17;0; 
