Date: 29-09-2016 02:16:02 AM  Account : saran1122 User : Smart Reward: 9773;32;646454;0;, RB: 13, Item Used:9682 Item Replaced:9682;33;17;0; 
Date: 29-09-2016 06:02:11 AM  Account : rahul22 User : Eko Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 29-09-2016 10:25:16 AM  Account : avinaships User : Evilrage Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 29-09-2016 10:59:44 AM  Account : avinaships User : Evilrage Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 29-09-2016 11:54:02 AM  Account : beast316 User : Lionstorm Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 29-09-2016 12:03:48 PM  Account : avinaships User : Evilrage Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 29-09-2016 01:53:11 PM  Account : rahul22 User : Eko Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 29-09-2016 01:54:29 PM  Account : ritesh User : Doomranger Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 29-09-2016 02:47:27 PM  Account : avinaships User : Evilrage Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 29-09-2016 03:58:21 PM  Account : avinaships User : Evilrage Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 29-09-2016 08:20:19 PM  Account : bhutboy User : Deathwalk Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 29-09-2016 08:51:00 PM  Account : joyi610 User : Nydia Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;17;0; 
