Date: 19-08-2017 12:15:30 AM  Account : piyush4 User : Elizabeth Reward: 9772;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;35;36344;0; 
Date: 19-08-2017 12:22:18 AM  Account : iamwar User : Shivaji Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 19-08-2017 02:21:03 AM  Account : kiranoob1 User : Rogueknight Reward: 9772;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;34;5;0; 
Date: 19-08-2017 07:19:35 AM  Account : opwalad User : Japandd Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 19-08-2017 08:46:30 AM  Account : dragonblastz User : Darksecret Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 19-08-2017 10:40:54 AM  Account : moonking User : Kevin Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 19-08-2017 11:33:27 AM  Account : b3tmatch User : Anesthetize Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;35;;0; 
Date: 19-08-2017 12:09:06 PM  Account : gamemaster User : Sue Reward: 9772;32;646454;0;, RB: 14, Item Used:9683 Item Replaced:9683;34;5;0; 
Date: 19-08-2017 02:34:45 PM  Account : Akshayzxc User : Demsel Reward: 9772;32;646454;0;, RB: 13, Item Used:9682 Item Replaced:9682;34;34933;0; 
Date: 19-08-2017 04:07:29 PM  Account : Hunter009 User : Eros Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 19-08-2017 04:16:12 PM  Account : kisan01 User : Unstoppable Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;35;5;0; 
Date: 19-08-2017 04:49:02 PM  Account : Pearl00 User : Bonkerz Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 19-08-2017 05:23:28 PM  Account : Arulk2k2 User : Rogue Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 19-08-2017 07:41:09 PM  Account : Hunter009 User : Eros Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 19-08-2017 09:15:17 PM  Account : amit147u User : Demonking Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;34;5;0; 
