Date: 05-08-2017 12:24:54 AM  Account : kaushik20 User : Raino Reward: 9772;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;34;17;0; 
Date: 05-08-2017 12:37:31 AM  Account : barryscar User : Entauri Reward: 9772;32;646454;0;, RB: 12, Item Used:9681 Item Replaced:9681;35;;0; 
Date: 05-08-2017 07:48:31 AM  Account : akashni User : Niki Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 05-08-2017 09:36:19 AM  Account : akashni User : Niki Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 05-08-2017 11:09:46 AM  Account : gomzy1 User : Asasaqe Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 05-08-2017 11:09:47 AM  Account : Akshayzxc User : Demsel Reward: 9772;32;646454;0;, RB: 12, Item Used:9681 Item Replaced:9681;34;34932;0; 
Date: 05-08-2017 11:35:13 AM  Account : arjunsehu User : Terminator Reward: 9772;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;35;5;0; 
Date: 05-08-2017 12:35:56 PM  Account : demonskiller User : Auraqueen Reward: 9772;32;646454;0;, RB: 10, Item Used:9668 Item Replaced:9668;33;17;0; 
Date: 05-08-2017 12:52:14 PM  Account : ballss User : Snipercat Reward: 9772;32;646454;0;, RB: 12, Item Used:9681 Item Replaced:9681;34;5;0; 
Date: 05-08-2017 01:00:27 PM  Account : gomzy4 User : Qwfsdfbkjsdf Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 05-08-2017 02:33:25 PM  Account : parth123 User : Thelichking Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;34;33911;0; 
Date: 05-08-2017 02:42:54 PM  Account : piosan User : Darling Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;33;4;0; 
Date: 05-08-2017 03:07:16 PM  Account : Royalstar User : Ironarcher Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 05-08-2017 03:19:35 PM  Account : hope24 User : Glhf Reward: 9772;32;646454;0;, RB: 13, Item Used:9682 Item Replaced:9682;34;33913;0; 
Date: 05-08-2017 03:30:25 PM  Account : gametime User : Bheem Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 05-08-2017 04:18:39 PM  Account : rudraa User : Skan Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 05-08-2017 04:40:28 PM  Account : lastrowdy User : Drake Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 05-08-2017 04:58:44 PM  Account : tta3satish User : Charlies Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 05-08-2017 05:16:41 PM  Account : kiranoob1 User : Rogueknight Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;34;17;0; 
Date: 05-08-2017 06:20:54 PM  Account : lastrowdy User : Drake Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 05-08-2017 07:12:17 PM  Account : shanky User : Xplodeee Reward: 9772;32;646454;0;, RB: 10, Item Used:9668 Item Replaced:9668;34;4;0; 
Date: 05-08-2017 07:33:41 PM  Account : rahul11 User : Ladyarcher Reward: 9772;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;34;33913;0; 
Date: 05-08-2017 07:37:25 PM  Account : venom6 User : Reno Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 05-08-2017 08:30:09 PM  Account : rohansaw User : Anarchy Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 05-08-2017 09:50:39 PM  Account : lostsoul User : Mr Reward: -, RB: 1, Item Used:none Item Replaced:none 
