Date: 16-02-2017 02:48:39 AM  Account : dineshkha User : Armymage Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 16-02-2017 06:35:49 AM  Account : iiiiiii User : Lolita Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 16-02-2017 07:18:33 AM  Account : kardion12 User : Maxrage Reward: 9773;32;646454;0;, RB: 13, Item Used:9682 Item Replaced:9682;33;4;0; 
Date: 16-02-2017 07:20:00 AM  Account : ramps153 User : Magexxxs Reward: 9774;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;33;17;0; 
Date: 16-02-2017 11:22:11 AM  Account : samsung1 User : Marijuana Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 16-02-2017 11:22:52 AM  Account : samsung1 User : Marijuana Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 16-02-2017 11:37:01 AM  Account : ashishkr User : Archerxx Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 16-02-2017 11:45:54 AM  Account : clp646 User : Strangemage Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 16-02-2017 12:49:40 PM  Account : clp646 User : Strangemage Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 16-02-2017 05:19:08 PM  Account : sck9010 User : Smile Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 16-02-2017 07:31:02 PM  Account : clp646 User : Strangemage Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 16-02-2017 08:02:23 PM  Account : riya1995 User : Blackthunder Reward: 9773;32;646454;0;, RB: 12, Item Used:9681 Item Replaced:9681;33;1088;0; 
Date: 16-02-2017 08:03:09 PM  Account : xxxroxx User : Beowolf Reward: 9773;32;646454;0;, RB: 13, Item Used:9682 Item Replaced:9682;33;5;0; 
Date: 16-02-2017 08:57:06 PM  Account : clp646 User : Strangemage Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 16-02-2017 09:25:51 PM  Account : callarch User : Archrr Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 16-02-2017 09:41:50 PM  Account : 4tha3gm User : Blackk Reward: -, RB: 2, Item Used:none Item Replaced:none 
