Date: 25-02-2017 04:13:22 AM  Account : zaza2035 User : Maximum Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 25-02-2017 05:29:59 AM  Account : 10Hop10 User : Longshot Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 25-02-2017 06:38:16 AM  Account : Nibedita User : Silverblaze Reward: 9773;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;33;9545;0; 
Date: 25-02-2017 08:33:07 AM  Account : parth007 User : Melody Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 25-02-2017 10:07:08 AM  Account : sestoa User : Masterknight Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 25-02-2017 10:25:38 AM  Account : 10Hop10 User : Longshot Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 25-02-2017 10:45:14 AM  Account : hunter07 User : Youngistaan Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 25-02-2017 12:34:04 PM  Account : 10Hop10 User : Longshot Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 25-02-2017 12:55:30 PM  Account : jaredrag User : Eviscerate Reward: 9773;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;33;33913;0; 
Date: 25-02-2017 01:07:15 PM  Account : dibesha User : Dibesh Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;9456;0; 
Date: 25-02-2017 01:45:20 PM  Account : taposh007 User : Vipar Reward: 9773;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;33;5;0; 
Date: 25-02-2017 02:04:01 PM  Account : Ankit16 User : Conanb Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 25-02-2017 03:10:48 PM  Account : jaredrag User : Eviscerate Reward: 9774;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;33;33954;0; 
Date: 25-02-2017 03:26:24 PM  Account : 10Hop10 User : Longshot Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 25-02-2017 03:34:52 PM  Account : 0Arrow0 User : Goldarrow Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 25-02-2017 03:43:03 PM  Account : clp646 User : Strangemage Reward: 9773;32;646454;0;, RB: 11, Item Used:9669 Item Replaced:9669;33;5;0; 
Date: 25-02-2017 03:48:16 PM  Account : kisu7796 User : Lonelyarcher Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 25-02-2017 04:51:07 PM  Account : serizawa User : Zach Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 25-02-2017 05:42:21 PM  Account : ghostexe User : Wanzu Reward: 9773;32;646454;0;, RB: 13, Item Used:9682 Item Replaced:9682;32;4;0; 
