Date: 11-01-2017 06:03:51 AM  Account : dknoor User : Sweetu Reward: 9773;32;646454;0;, RB: 12, Item Used:9681 Item Replaced:9681;33;17;0; 
Date: 11-01-2017 07:54:39 AM  Account : Remote87 User : Indianwitch Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 11-01-2017 08:18:55 AM  Account : ramps153 User : Magexxxs Reward: 9774;32;646454;0;, RB: 18, Item Used:9690 Item Replaced:9690;33;17;0; 
Date: 11-01-2017 09:03:18 AM  Account : srk7777 User : Jivika Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 11-01-2017 10:06:47 AM  Account : komalraj User : Yamarcher Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;17;0; 
Date: 11-01-2017 10:24:16 AM  Account : Remote87 User : Indianwitch Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 11-01-2017 11:29:34 AM  Account : Remote87 User : Indianwitch Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 11-01-2017 12:21:21 PM  Account : Rarider User : Rascalrider Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 11-01-2017 12:28:43 PM  Account : Royalstar User : Prabhas Reward: 9774;32;646454;0;, RB: 18, Item Used:9690 Item Replaced:9690;35;4;0; 
Date: 11-01-2017 03:03:25 PM  Account : kiniboy User : Goosy Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;3977;0; 
Date: 11-01-2017 03:29:53 PM  Account : Anjali User : Sparrowjack Reward: 9774;32;646454;0;, RB: 17, Item Used:9931 Item Replaced:9931;33;17;0; 
Date: 11-01-2017 05:05:55 PM  Account : lleoman User : Malefica Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 11-01-2017 06:19:14 PM  Account : vijay3105 User : Xarchangelx Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 11-01-2017 07:45:37 PM  Account : Sanojch User : Sealbreaker Reward: 9774;32;646454;0;, RB: 18, Item Used:9690 Item Replaced:9690;33;9927;0; 
Date: 11-01-2017 08:04:25 PM  Account : Sanojch User : Sealbreaker Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 11-01-2017 11:06:43 PM  Account : Anjali User : Sparrowjack Reward: 9774;32;646454;0;, RB: 18, Item Used:9690 Item Replaced:9690;33;1190;0; 
