Date: 12-01-2017 12:15:26 AM  Account : jaredrag User : Eviscerate Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 12-01-2017 12:48:02 AM  Account : jaredrag User : Eviscerate Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 12-01-2017 07:14:41 AM  Account : parth007 User : Melody Reward: 9772;32;646454;0;, RB: 10, Item Used:9668 Item Replaced:9668;33;10661;0; 
Date: 12-01-2017 08:17:24 AM  Account : sanjeevp User : Ghostking Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 12-01-2017 10:21:48 AM  Account : jaredrag User : Eviscerate Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 12-01-2017 10:54:58 AM  Account : Snation User : Snation Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 12-01-2017 12:11:08 PM  Account : thegame1 User : Lannister Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 12-01-2017 12:56:36 PM  Account : shiv77685 User : Criminal Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 12-01-2017 12:57:14 PM  Account : toshiba User : Harbin Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 12-01-2017 01:33:03 PM  Account : kardion12 User : Maxrage Reward: 9773;32;646454;0;, RB: 12, Item Used:9681 Item Replaced:9681;33;;0; 
Date: 12-01-2017 08:25:38 PM  Account : hardy1982 User : Hz Reward: -, RB: 2, Item Used:none Item Replaced:none 
