Date: 31-01-2017 06:25:19 AM  Account : ashishlee User : Windifull Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;33;17;0; 
Date: 31-01-2017 07:04:54 AM  Account : shavik1 User : Ozil Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 31-01-2017 07:15:31 AM  Account : shuaku2 User : Shavik Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 31-01-2017 07:34:40 AM  Account : shavik1 User : Ozil Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 31-01-2017 07:56:27 AM  Account : Archadeon User : Archadeon Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 31-01-2017 08:01:11 AM  Account : shuaku2 User : Shavik Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 31-01-2017 08:15:37 AM  Account : shavik1 User : Ozil Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 31-01-2017 08:27:01 AM  Account : Archadeon User : Archadeon Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 31-01-2017 09:33:45 AM  Account : ritesh User : Doomranger Reward: 9773;32;646454;0;, RB: 11, Item Used:9669 Item Replaced:9669;33;17;0; 
Date: 31-01-2017 10:12:25 AM  Account : shivanshu User : Asako Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 31-01-2017 02:33:01 PM  Account : shuaku2 User : Shavik Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 31-01-2017 02:38:31 PM  Account : shavik1 User : Ozil Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 31-01-2017 02:44:04 PM  Account : ramps143 User : Meenamma Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 31-01-2017 02:57:45 PM  Account : shuaku2 User : Shavik Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 31-01-2017 03:05:39 PM  Account : ramps143 User : Meenamma Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 31-01-2017 03:06:36 PM  Account : devilstar User : Devilstar Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 31-01-2017 03:09:22 PM  Account : shavik1 User : Ozil Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 31-01-2017 05:36:44 PM  Account : ashishkr User : Archerxx Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 31-01-2017 07:17:24 PM  Account : dineshkha User : Khurafatii Reward: 9774;32;646454;0;, RB: 17, Item Used:9931 Item Replaced:9931;33;17;0; 
Date: 31-01-2017 07:45:29 PM  Account : evilrobot User : Evilrobot Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 31-01-2017 08:10:07 PM  Account : kardion12 User : Maxrage Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 31-01-2017 08:29:13 PM  Account : xxxroxx User : Beowolf Reward: 9773;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;33;33930;0; 
Date: 31-01-2017 08:44:50 PM  Account : iiiiiii User : Lolita Reward: -, RB: 1, Item Used:none Item Replaced:none 
