Date: 11-07-2017 12:20:50 AM  Account : evilrobot User : Evilrobot Reward: 9772;32;646454;0;, RB: 14, Item Used:9683 Item Replaced:9683;32;33913;0; 
Date: 11-07-2017 12:26:09 AM  Account : zzxcvbnm User : Noodles Reward: 9772;32;646454;0;, RB: 13, Item Used:9682 Item Replaced:9682;34;5;0; 
Date: 11-07-2017 12:35:27 AM  Account : amit147 User : Deathforu Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 11-07-2017 03:13:24 AM  Account : kraigon User : Kraigon Reward: 9772;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;35;17;0; 
Date: 11-07-2017 03:47:24 AM  Account : amit147 User : Deathforu Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 11-07-2017 03:49:36 AM  Account : lelonn1 User : Bee Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 11-07-2017 06:25:21 AM  Account : opwalac User : Lust Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 11-07-2017 06:56:46 AM  Account : opwalad User : List Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 11-07-2017 08:06:58 AM  Account : darks111 User : Phoenix Reward: 9772;32;646454;0;, RB: 10, Item Used:9668 Item Replaced:9668;35;17;0; 
Date: 11-07-2017 09:35:35 AM  Account : romsoni User : Zorphia Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 11-07-2017 09:49:29 AM  Account : rosemary User : Reverso Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;34;;0; 
Date: 11-07-2017 09:57:07 AM  Account : amit147 User : Deathforu Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 11-07-2017 10:06:23 AM  Account : Rahul1642 User : Snakeeyes Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 11-07-2017 10:21:49 AM  Account : parth00 User : Mist Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;33;17;0; 
Date: 11-07-2017 11:16:37 AM  Account : himalaya User : Devsena Reward: 9772;32;646454;0;, RB: 13, Item Used:9682 Item Replaced:9682;34;33912;0; 
Date: 11-07-2017 11:16:46 AM  Account : rkpackers User : Kov Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 11-07-2017 01:53:20 PM  Account : rkpackers User : Kov Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 11-07-2017 02:44:22 PM  Account : rozer2292 User : Madmage Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;17;0; 
Date: 11-07-2017 04:12:25 PM  Account : rkpackers User : Kov Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 11-07-2017 04:20:53 PM  Account : love6036 User : Eklavya Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;35;;0; 
Date: 11-07-2017 05:31:06 PM  Account : gomzy1 User : Asasaqe Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 11-07-2017 05:32:24 PM  Account : himalaya User : Devsena Reward: 9772;32;646454;0;, RB: 14, Item Used:9683 Item Replaced:9683;33;1145;0; 
Date: 11-07-2017 05:37:38 PM  Account : samannana User : Ladydeath Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 11-07-2017 05:41:09 PM  Account : BloodMoon User : Bloodmoon Reward: 9772;32;646454;0;, RB: 11, Item Used:9669 Item Replaced:9669;34;5;0; 
Date: 11-07-2017 06:47:24 PM  Account : Rahul1642 User : Snakeeyes Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 11-07-2017 07:14:35 PM  Account : Akshayzxc User : Demsel Reward: 9772;32;646454;0;, RB: 10, Item Used:9668 Item Replaced:9668;34;2104;0; 
Date: 11-07-2017 07:40:34 PM  Account : wwweee User : Thelastbeast Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 11-07-2017 07:45:32 PM  Account : wannabe User : Billmade Reward: 9772;32;646454;0;, RB: 12, Item Used:9681 Item Replaced:9681;34;1091;0; 
Date: 11-07-2017 08:12:24 PM  Account : amit147 User : Deathforu Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 11-07-2017 08:13:32 PM  Account : BIKASH2010 User : Nightqueen Reward: 9772;32;646454;0;, RB: 13, Item Used:9682 Item Replaced:9682;34;34876;0; 
Date: 11-07-2017 08:26:44 PM  Account : aroraajay User : Headshotz Reward: 9772;32;646454;0;, RB: 11, Item Used:9669 Item Replaced:9669;35;17;0; 
Date: 11-07-2017 08:27:36 PM  Account : Madmohit User : Madmanisback Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 11-07-2017 09:32:45 PM  Account : wwweee User : Thelastbeast Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 11-07-2017 09:34:24 PM  Account : cjchatty1 User : Vixen Reward: 9772;32;646454;0;, RB: 11, Item Used:9669 Item Replaced:9669;33;198712;0; 
Date: 11-07-2017 10:49:39 PM  Account : lelonn1 User : Bee Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 11-07-2017 11:19:36 PM  Account : deepam333 User : Indianarmy Reward: -, RB: 1, Item Used:none Item Replaced:none 
