Date: 17-06-2017 02:11:54 AM  Account : prokikyo User : Snez Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-06-2017 02:52:32 AM  Account : ruthless User : Lickmycritzz Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-06-2017 03:18:58 AM  Account : monu1r1 User : Greatmage Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-06-2017 05:33:36 AM  Account : ruthless User : Lickmycritzz Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 17-06-2017 05:59:30 AM  Account : monu1r1 User : Greatmage Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 17-06-2017 06:11:11 AM  Account : Quitkiller User : Magicalmage Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-06-2017 06:23:16 AM  Account : kraigon User : Kraigon Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-06-2017 06:40:39 AM  Account : scream82 User : Cain Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-06-2017 07:14:24 AM  Account : ruthless User : Lickmycritzz Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 17-06-2017 07:22:36 AM  Account : monu1r1 User : Greatmage Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 17-06-2017 07:43:00 AM  Account : Quitkiller User : Magicalmage Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 17-06-2017 08:34:26 AM  Account : monu1r1 User : Greatmage Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 17-06-2017 09:59:59 AM  Account : scream82 User : Cain Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 17-06-2017 11:23:19 AM  Account : monu1r1 User : Greatmage Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 17-06-2017 12:06:27 PM  Account : kraigon User : Kraigon Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 17-06-2017 12:17:50 PM  Account : arghya1995 User : Leonardus Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-06-2017 12:31:47 PM  Account : kamorpatel User : Wildstrom Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-06-2017 12:37:13 PM  Account : neil003 User : Magexs Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-06-2017 12:52:18 PM  Account : tonich User : Evildoc Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-06-2017 01:34:18 PM  Account : austin User : Venus Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-06-2017 01:43:38 PM  Account : sinx366 User : Toxiclove Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-06-2017 01:57:32 PM  Account : nitinkolmi User : Vamp Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-06-2017 02:07:12 PM  Account : fanatic User : Xr Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-06-2017 02:25:21 PM  Account : dildaar User : Jatti Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-06-2017 02:29:10 PM  Account : scream82 User : Cain Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 17-06-2017 02:51:26 PM  Account : nitinkolmi User : Vamp Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 17-06-2017 03:14:18 PM  Account : austin User : Venus Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 17-06-2017 03:23:12 PM  Account : ruthless User : Lickmycritzz Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 17-06-2017 03:48:18 PM  Account : rdpaul7 User : Foxxy Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-06-2017 04:09:29 PM  Account : Quitkiller User : Magicalmage Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 17-06-2017 04:11:43 PM  Account : prokikyo User : Snez Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 17-06-2017 04:17:54 PM  Account : nitinkolmi User : Vamp Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 17-06-2017 04:27:44 PM  Account : jagankrrj User : Karambit Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-06-2017 04:37:12 PM  Account : rahul007 User : Xxx Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-06-2017 04:39:28 PM  Account : darkroz User : Silverfox Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-06-2017 04:42:39 PM  Account : dolagobinda User : Dragonmage Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-06-2017 04:48:24 PM  Account : ranjit05 User : Goddess Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-06-2017 04:54:47 PM  Account : pro2play1 User : Lex Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-06-2017 05:03:11 PM  Account : tonich User : Evildoc Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 17-06-2017 05:06:58 PM  Account : fanatic User : Xr Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 17-06-2017 05:14:30 PM  Account : arghya1995 User : Leonardus Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 17-06-2017 05:27:26 PM  Account : Quitkiller User : Magicalmage Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 17-06-2017 05:47:43 PM  Account : prokikyo User : Snez Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 17-06-2017 06:00:11 PM  Account : pro2play1 User : Lex Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 17-06-2017 06:44:59 PM  Account : scream82 User : Cain Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 17-06-2017 06:47:40 PM  Account : preetm User : Crackmind Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-06-2017 06:54:57 PM  Account : Quitkiller User : Magicalmage Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 17-06-2017 07:16:29 PM  Account : rahul007 User : Xxx Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 17-06-2017 07:47:18 PM  Account : hunter888 User : Dark Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-06-2017 07:59:36 PM  Account : fir3art31 User : Fireart Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-06-2017 08:13:49 PM  Account : faizan User : Bloodwitch Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-06-2017 09:00:59 PM  Account : rdpaul7 User : Foxxy Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 17-06-2017 10:09:15 PM  Account : pro2play1 User : Lex Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 17-06-2017 10:27:41 PM  Account : fanatic User : Xr Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 17-06-2017 10:36:15 PM  Account : prokikyo User : Snez Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 17-06-2017 11:00:21 PM  Account : fir3art31 User : Fireart Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 17-06-2017 11:09:03 PM  Account : tonich User : Evildoc Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 17-06-2017 11:48:42 PM  Account : rdpaul7 User : Foxxy Reward: -, RB: 3, Item Used:none Item Replaced:none 
