Date: 05-06-2017 12:45:21 AM  Account : noob98 User : Bira Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 05-06-2017 12:57:35 AM  Account : darkroz User : Darkmist Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 05-06-2017 01:37:32 AM  Account : darkroz User : Darkmist Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 05-06-2017 02:17:33 AM  Account : noob98 User : Bira Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 05-06-2017 05:51:33 AM  Account : opwalae User : Slicee Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 05-06-2017 05:56:33 AM  Account : opwalaf User : Slicef Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 05-06-2017 06:10:52 AM  Account : opwalag User : Sliceg Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 05-06-2017 06:17:51 AM  Account : opwalai User : Slicei Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 05-06-2017 06:30:19 AM  Account : dibesha User : Veryfun Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 05-06-2017 09:34:52 PM  Account : ankitdesai User : CHaRsHi Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 05-06-2017 09:36:55 PM  Account : Akshayzxc User : Soulshooter Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 05-06-2017 10:05:00 PM  Account : Akshayzxc User : Soulshooter Reward: -, RB: 2, Item Used:none Item Replaced:none 
