Date: 11-03-2017 07:24:51 AM  Account : usermac User : Boy Reward: 9773;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;33;5;0; 
Date: 11-03-2017 08:21:10 AM  Account : devil666 User : Snakeeyes Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 11-03-2017 10:17:57 AM  Account : hunter0 User : Evilstorm Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 11-03-2017 10:34:35 AM  Account : mohan12 User : Rexraoh Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 11-03-2017 10:34:49 AM  Account : hunter0 User : Evilstorm Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 11-03-2017 10:37:14 AM  Account : 1hunter1 User : Eros Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 11-03-2017 10:37:56 AM  Account : 0Storm0 User : Janus Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 11-03-2017 10:38:25 AM  Account : 0Arrow0 User : Demeter Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 11-03-2017 10:50:52 AM  Account : 0Storm0 User : Janus Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 11-03-2017 10:56:09 AM  Account : hunter0 User : Evilstorm Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 11-03-2017 10:56:23 AM  Account : 0Arrow0 User : Demeter Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 11-03-2017 10:57:13 AM  Account : mohan12 User : Rexraoh Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 11-03-2017 10:57:50 AM  Account : 1hunter1 User : Eros Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 11-03-2017 11:34:10 AM  Account : taposh007 User : Vipar Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 11-03-2017 12:21:57 PM  Account : hunter0 User : Evilstorm Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 11-03-2017 12:26:46 PM  Account : 0Storm0 User : Janus Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 11-03-2017 12:32:54 PM  Account : 1hunter1 User : Eros Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 11-03-2017 02:34:21 PM  Account : shiv77685 User : Reflection Reward: 9774;32;646454;0;, RB: 18, Item Used:9690 Item Replaced:9690;33;36545;0; 
Date: 11-03-2017 05:33:28 PM  Account : hunter0 User : Evilstorm Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 11-03-2017 05:56:10 PM  Account : aroraajay User : Hanumaan Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 11-03-2017 07:31:03 PM  Account : aroraajay User : Draculla Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 11-03-2017 08:45:49 PM  Account : caly0012012 User : Ruthlessrock Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 11-03-2017 10:07:20 PM  Account : shiv77685 User : Reflection Reward: -, RB: 1, Item Used:none Item Replaced:none 
