Date: 12-05-2017 12:40:03 AM  Account : serizawa User : Zach Reward: 9773;32;646454;0;, RB: 14, Item Used:9683 Item Replaced:9683;33;17;0; 
Date: 12-05-2017 08:14:42 AM  Account : zxcvbnm User : Arrowti Reward: 9773;32;646454;0;, RB: 14, Item Used:9683 Item Replaced:9683;33;33958;0; 
Date: 12-05-2017 11:21:49 AM  Account : 0Arrow0 User : Northstar Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 12-05-2017 11:28:02 AM  Account : dibesha User : Badesaw Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 12-05-2017 11:32:39 AM  Account : dibesh User : Hotpussy Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 12-05-2017 11:37:07 AM  Account : dibesh User : Options Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 12-05-2017 11:41:29 AM  Account : bullion User : Randii Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 12-05-2017 11:52:01 AM  Account : bullion User : Bitemynipple Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 12-05-2017 12:20:51 PM  Account : Dark95 User : Kaido Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 12-05-2017 04:04:11 PM  Account : ketanpooj User : Mrsandy Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 12-05-2017 05:06:10 PM  Account : sexman User : Rufus Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 12-05-2017 05:12:10 PM  Account : serizawa User : Zach Reward: 9773;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;33;14;0; 
Date: 12-05-2017 06:30:06 PM  Account : serizawa User : Zach Reward: 9774;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;33;14;0; 
Date: 12-05-2017 06:31:42 PM  Account : serizawa User : Zach Reward: 9774;32;646454;0;, RB: 17, Item Used:9931 Item Replaced:9931;32;14;0; 
Date: 12-05-2017 06:33:57 PM  Account : serizawa User : Zach Reward: 9774;32;646454;0;, RB: 18, Item Used:9690 Item Replaced:9690;33;9774;0; 
Date: 12-05-2017 07:29:13 PM  Account : dibesha User : Dibesh Reward: 9774;32;646454;0;, RB: 18, Item Used:9690 Item Replaced:9690;33;14;0; 
Date: 12-05-2017 07:31:57 PM  Account : dibesha User : Dibesh Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 12-05-2017 07:37:01 PM  Account : dibesha User : Dibesh Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 12-05-2017 07:43:30 PM  Account : dibesha User : Dibesh Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 12-05-2017 08:00:13 PM  Account : subhamaa User : Gothicangel Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 12-05-2017 08:05:03 PM  Account : subhamaa User : Gothicangel Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 12-05-2017 08:07:13 PM  Account : subhamaa User : Gothicangel Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 12-05-2017 09:56:26 PM  Account : kuremi User : Illidian Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 12-05-2017 10:17:14 PM  Account : bubai1995 User : Cleric Reward: 9773;32;646454;0;, RB: 13, Item Used:9682 Item Replaced:9682;33;17;0; 
