Date: 17-05-2017 10:21:43 AM  Account : dogra25 User : Nrmo Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;33;17;0; 
Date: 17-05-2017 11:36:48 AM  Account : ketanpooj User : Mrsandy Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;33;9465;0; 
Date: 17-05-2017 12:31:40 PM  Account : Vatsal User : Khalisi Reward: 9773;32;646454;0;, RB: 14, Item Used:9683 Item Replaced:9683;33;17;0; 
Date: 17-05-2017 01:06:46 PM  Account : fraggerc3 User : Morbid Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 17-05-2017 01:12:46 PM  Account : fraggerc3 User : Morbid Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 17-05-2017 02:34:51 PM  Account : ritesh99 User : Mrpresident Reward: 9774;32;646454;0;, RB: 18, Item Used:9690 Item Replaced:9690;33;33930;0; 
Date: 17-05-2017 03:11:03 PM  Account : ritesh99 User : Mrpresident Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-05-2017 03:13:02 PM  Account : ritesh99 User : Mrpresident Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 17-05-2017 03:14:45 PM  Account : ritesh99 User : Mrpresident Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 17-05-2017 03:18:15 PM  Account : ritesh99 User : Mrpresident Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 17-05-2017 03:21:32 PM  Account : ritesh99 User : Mrpresident Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 17-05-2017 03:46:10 PM  Account : subhamaa User : Gothicangel Reward: 9773;32;646454;0;, RB: 12, Item Used:9681 Item Replaced:9681;33;;0; 
Date: 17-05-2017 06:19:06 PM  Account : romsoni User : Zorphia Reward: 9773;32;646454;0;, RB: 11, Item Used:9669 Item Replaced:9669;33;8196;0; 
Date: 17-05-2017 06:34:27 PM  Account : titasgang User : Rwa Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-05-2017 06:35:50 PM  Account : subhamaa User : Gothicangel Reward: 9773;32;646454;0;, RB: 13, Item Used:9682 Item Replaced:9682;33;;0; 
Date: 17-05-2017 07:56:12 PM  Account : nector246 User : Annaraskala Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-05-2017 07:56:37 PM  Account : lovermaa User : Maalover Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-05-2017 07:56:53 PM  Account : youhost User : Sdman Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-05-2017 07:57:10 PM  Account : zambob User : Zambob Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-05-2017 07:57:28 PM  Account : pinkumi User : Pinky Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-05-2017 09:47:32 PM  Account : titasgang User : Rwa Reward: -, RB: 2, Item Used:none Item Replaced:none 
