Date: 19-05-2017 03:55:46 AM  Account : emmalove User : Alexis Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 19-05-2017 05:48:06 AM  Account : dibesha User : Ecoiner Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 19-05-2017 05:52:40 AM  Account : sestoa User : Thumsup Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 19-05-2017 07:02:37 AM  Account : dibesha User : Ecoiner Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 19-05-2017 07:09:07 AM  Account : dibesh User : Options Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 19-05-2017 07:15:03 AM  Account : kumar0154 User : Redchili Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 19-05-2017 07:18:53 AM  Account : sestoa User : Thumsup Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 19-05-2017 07:22:49 AM  Account : bullion User : Randii Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 19-05-2017 07:25:59 AM  Account : bullion User : Bitemynipple Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 19-05-2017 02:02:20 PM  Account : nickygoel User : Dreamlady Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 19-05-2017 02:38:00 PM  Account : sexman User : Supermen Reward: 9773;32;646454;0;, RB: 14, Item Used:9683 Item Replaced:9683;33;33958;0; 
Date: 19-05-2017 04:06:34 PM  Account : blowjob02 User : Qroxz Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;33;5;0; 
Date: 19-05-2017 04:51:14 PM  Account : navneetxi User : Revenant Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 19-05-2017 07:20:24 PM  Account : dibesh User : Lickmyboobs Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 19-05-2017 07:25:50 PM  Account : kumar0154 User : Agroa Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 19-05-2017 07:28:41 PM  Account : sestoa User : Thumsup Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 19-05-2017 07:32:05 PM  Account : bullion User : Randii Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 19-05-2017 08:36:55 PM  Account : 0Arrow0 User : Northstar Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;34;33861;0; 
Date: 19-05-2017 09:12:17 PM  Account : darkflame User : Denominator Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;5;0; 
Date: 19-05-2017 09:28:19 PM  Account : hackin User : Primeknight Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 19-05-2017 11:34:12 PM  Account : sam3957 User : Alexandriya Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;34;;0; 
Date: 19-05-2017 11:53:38 PM  Account : leonardus User : Kronos Reward: 9774;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;33;5;0; 
