Date: 22-05-2017 12:00:02 AM  Account : knight89 User : Yuvaraj Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 22-05-2017 01:15:32 AM  Account : kaiavi User : Thelion Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 22-05-2017 02:10:28 AM  Account : BIKASH2010 User : NIGHTFIRE Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;33;9548;0; 
Date: 22-05-2017 11:52:41 AM  Account : zaza2031 User : Pegasus Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 22-05-2017 12:56:35 PM  Account : asd123 User : Sayhello Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 22-05-2017 02:53:32 PM  Account : knight1989 User : Jacksparroww Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 22-05-2017 03:33:42 PM  Account : Quitkiller User : Khaleesi Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 22-05-2017 04:05:00 PM  Account : asd1231 User : Badmonk Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 22-05-2017 04:42:59 PM  Account : avishek User : Tendulkar Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 22-05-2017 04:51:39 PM  Account : kinggomzy User : Kinggomzy Reward: 9774;32;646454;0;, RB: 17, Item Used:9931 Item Replaced:9931;35;17;0; 
Date: 22-05-2017 06:00:02 PM  Account : deepakxd User : Mirajane Reward: 9773;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;33;5;0; 
Date: 22-05-2017 06:15:47 PM  Account : hunter1 User : Niko Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;34;33958;0; 
Date: 22-05-2017 06:36:18 PM  Account : subhamaa User : Gothicangel Reward: 9773;32;646454;0;, RB: 14, Item Used:9683 Item Replaced:9683;33;;0; 
Date: 22-05-2017 07:23:09 PM  Account : asd1232 User : Spidermonk Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 22-05-2017 09:37:26 PM  Account : BIKASH2010 User : NIGHTFIRE Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;17;0; 
