Date: 26-05-2017 12:02:06 AM  Account : rustum123 User : Brontok Reward: 9773;32;646454;0;, RB: 12, Item Used:9681 Item Replaced:9681;34;17;0; 
Date: 26-05-2017 12:10:47 AM  Account : rustum23 User : Tigrel Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 26-05-2017 01:03:42 AM  Account : kalaiz User : Xfire Reward: 9773;32;646454;0;, RB: 13, Item Used:9682 Item Replaced:9682;33;17;0; 
Date: 26-05-2017 01:11:33 AM  Account : tram6183 User : Thriller Reward: 9773;32;646454;0;, RB: 11, Item Used:9669 Item Replaced:9669;33;5;0; 
Date: 26-05-2017 03:31:42 AM  Account : zxcvbnm User : Arrowti Reward: 9774;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;32;33922;0; 
Date: 26-05-2017 05:11:46 AM  Account : kumar0154 User : Babsws Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 26-05-2017 05:56:35 AM  Account : dibesha User : Ecoiner Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 26-05-2017 06:01:49 AM  Account : dibesh User : Lickmyboobs Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 26-05-2017 06:05:13 AM  Account : dibesh User : Hotpussy Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 26-05-2017 06:12:36 AM  Account : kumar0154 User : Babsws Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 26-05-2017 12:19:25 PM  Account : Stormstar User : Stormstar Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;33;1069;0; 
Date: 26-05-2017 04:38:08 PM  Account : 0hunter0 User : Saxton Reward: 9773;32;646454;0;, RB: 11, Item Used:9669 Item Replaced:9669;33;33958;0; 
Date: 26-05-2017 09:17:09 PM  Account : hunter1 User : Niko Reward: 9773;32;646454;0;, RB: 11, Item Used:9669 Item Replaced:9669;33;33958;0; 
