Date: 03-11-2017 12:32:13 AM  Account : d3vikg User : Darinda Reward: 9772;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;34;5;0; 
Date: 03-11-2017 10:22:20 AM  Account : Rahul1642 User : Ufc Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 03-11-2017 12:02:33 PM  Account : Rahul1642 User : Ufc Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 03-11-2017 02:11:56 PM  Account : Nx0007 User : Deathwar Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 03-11-2017 03:33:29 PM  Account : Rahul1642 User : Ufc Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 03-11-2017 04:40:20 PM  Account : booster1 User : Redone Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 03-11-2017 04:40:53 PM  Account : booster2 User : Redtwo Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 03-11-2017 04:41:21 PM  Account : booster3 User : Redthree Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 03-11-2017 04:41:50 PM  Account : booster4 User : Redfour Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 03-11-2017 04:42:26 PM  Account : booster5 User : Redfive Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 03-11-2017 04:42:52 PM  Account : booster6 User : Redsix Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 03-11-2017 06:00:50 PM  Account : l3ssness User : Nevertheless Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;33;4;0; 
Date: 03-11-2017 06:36:46 PM  Account : booster1 User : Redone Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 03-11-2017 06:39:47 PM  Account : booster2 User : Redtwo Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 03-11-2017 06:40:05 PM  Account : booster3 User : Redthree Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 03-11-2017 06:40:22 PM  Account : booster4 User : Redfour Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 03-11-2017 06:40:36 PM  Account : booster5 User : Redfive Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 03-11-2017 06:40:56 PM  Account : booster6 User : Redsix Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 03-11-2017 09:04:11 PM  Account : Nx0007 User : Deathwar Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 03-11-2017 09:36:01 PM  Account : Rahul1642 User : Ufc Reward: -, RB: 4, Item Used:none Item Replaced:none 
