Date: 08-11-2017 11:38:43 AM  Account : baby758 User : Archerrock Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 08-11-2017 01:34:15 PM  Account : booster6 User : Redsix Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 08-11-2017 01:34:59 PM  Account : booster5 User : Redfive Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 08-11-2017 01:35:42 PM  Account : booster4 User : Redfour Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 08-11-2017 01:35:58 PM  Account : booster3 User : Redthree Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 08-11-2017 01:36:11 PM  Account : booster2 User : Redtwo Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 08-11-2017 01:36:26 PM  Account : booster1 User : Redone Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 08-11-2017 01:59:42 PM  Account : ArohaniQ User : Moon Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 08-11-2017 03:47:05 PM  Account : lalapapu1 User : Noob Reward: 9772;32;646454;0;, RB: 12, Item Used:9681 Item Replaced:9681;33;5;0; 
Date: 08-11-2017 04:26:44 PM  Account : gameboy User : Alpha Reward: 9772;32;646454;0;, RB: 17, Item Used:9931 Item Replaced:9931;34;33907;0; 
Date: 08-11-2017 06:03:13 PM  Account : baby758 User : Archerrock Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 08-11-2017 07:25:32 PM  Account : khatriji User : Mommagic Reward: 9772;32;646454;0;, RB: 14, Item Used:9683 Item Replaced:9683;34;34932;0; 
Date: 08-11-2017 08:42:32 PM  Account : Alpha11 User : Jackknight Reward: 9772;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;35;17;0; 
Date: 08-11-2017 11:57:30 PM  Account : ArohaniQ User : Moon Reward: -, RB: 3, Item Used:none Item Replaced:none 
