Date: 25-10-2017 07:41:54 AM  Account : dibesha User : Chronoical Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 25-10-2017 12:55:03 PM  Account : Jagadesh User : Chinni Reward: 9772;32;646454;0;, RB: 11, Item Used:9669 Item Replaced:9669;33;17;0; 
Date: 25-10-2017 01:21:43 PM  Account : Alpha11 User : Jackknight Reward: 9772;32;646454;0;, RB: 14, Item Used:9683 Item Replaced:9683;35;17;0; 
Date: 25-10-2017 04:11:33 PM  Account : sam6121 User : Wizid Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 25-10-2017 04:31:44 PM  Account : sam6121 User : Wizid Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 25-10-2017 04:59:10 PM  Account : sam6121 User : Wizid Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 25-10-2017 05:16:02 PM  Account : iphonex2 User : Juliet Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 25-10-2017 05:17:49 PM  Account : iphonex2 User : Juliet Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 25-10-2017 05:18:10 PM  Account : iphonex2 User : Juliet Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 25-10-2017 05:23:46 PM  Account : iphonex2 User : Juliet Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 25-10-2017 05:47:21 PM  Account : sam6121 User : Wizid Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 25-10-2017 06:25:57 PM  Account : sam6121 User : Wizid Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 25-10-2017 07:09:28 PM  Account : Alpha11 User : Jackknight Reward: 9772;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;35;17;0; 
Date: 25-10-2017 07:15:47 PM  Account : sam6121 User : Winni Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 25-10-2017 07:33:01 PM  Account : sam6121 User : Winni Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 25-10-2017 08:04:02 PM  Account : sam6121 User : Winni Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 25-10-2017 08:32:06 PM  Account : sam6121 User : Winni Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 25-10-2017 09:01:49 PM  Account : sam6121 User : Winni Reward: -, RB: 5, Item Used:none Item Replaced:none 
