Date: 31-10-2017 01:18:04 AM  Account : booster1 User : Noobthree Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 31-10-2017 02:27:19 AM  Account : sam612 User : Vegas Reward: 9772;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;34;5;0; 
Date: 31-10-2017 10:28:57 AM  Account : Rahul1642 User : Temozqueen Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 31-10-2017 10:53:47 AM  Account : booster1 User : Noobthree Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 31-10-2017 11:26:53 AM  Account : gomzy123 User : Qqqww Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 31-10-2017 11:49:20 AM  Account : booster1 User : Noobthree Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 31-10-2017 02:19:12 PM  Account : gomzy2 User : Creature Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 31-10-2017 04:09:02 PM  Account : online1 User : G Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 31-10-2017 05:02:45 PM  Account : online11 User : Fu Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 31-10-2017 05:27:56 PM  Account : Nx0007 User : Demeter Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 31-10-2017 06:36:14 PM  Account : booster1 User : Noobthree Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 31-10-2017 08:16:15 PM  Account : shravank User : Doped Reward: 9772;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;34;33910;0; 
Date: 31-10-2017 08:29:01 PM  Account : lostsoul User : Mr Reward: 9772;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;33;17;0; 
Date: 31-10-2017 11:09:05 PM  Account : booster1 User : Noobthree Reward: -, RB: 5, Item Used:none Item Replaced:none 
