Date: 11-09-2017 12:11:22 AM  Account : rohansaw User : Anarchy Reward: 9772;32;646454;0;, RB: 9, Item Used:9666,9667 Item Replaced:9666;35;9667;0;9667;35;139987841;1; 
Date: 11-09-2017 12:36:07 AM  Account : gametime User : Bheem Reward: 9772;32;646454;0;, RB: 14, Item Used:9683 Item Replaced:9683;33;17;0; 
Date: 11-09-2017 02:31:58 AM  Account : monukumar1r1 User : Nuclear Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 11-09-2017 03:06:58 AM  Account : monukumar1r1 User : Nuclear Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 11-09-2017 03:37:21 AM  Account : monukumar1r1 User : Nuclear Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 11-09-2017 11:28:51 AM  Account : priyansb User : Lovelyqueen Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 11-09-2017 12:33:06 PM  Account : tta3satish User : Charlies Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;34;;0; 
Date: 11-09-2017 02:35:08 PM  Account : pro2play1 User : Lyne Reward: 9772;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;32;33922;0; 
Date: 11-09-2017 03:52:46 PM  Account : Goku007 User : Lynch Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 11-09-2017 04:35:22 PM  Account : rahul007 User : Reload Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;34;231480;0; 
Date: 11-09-2017 06:53:17 PM  Account : opwalae User : Newe Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 11-09-2017 07:43:17 PM  Account : opwalac User : Jdjahjask Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 11-09-2017 08:39:44 PM  Account : opwalac User : Jdjahjask Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 11-09-2017 08:47:39 PM  Account : arjun11 User : Asguardian Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 11-09-2017 10:38:14 PM  Account : 1hunter1 User : Arch Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 11-09-2017 11:39:53 PM  Account : opwalac User : Jdjahjask Reward: -, RB: 5, Item Used:none Item Replaced:none 
