Date: 16-09-2017 12:16:01 AM  Account : cjchatty3 User : Kingslayer Reward: 9772;32;646454;0;, RB: 6, Item Used:9645,9646 Item Replaced:9645;32;9646;0;9646;32;1641418881;1; 
Date: 16-09-2017 12:16:42 AM  Account : cjchatty3 User : Kingslayer Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;0;36264;0; 
Date: 16-09-2017 12:19:51 AM  Account : cjchatty3 User : Kingslayer Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;0;9559;0; 
Date: 16-09-2017 09:21:51 AM  Account : adsindia User : Scarletwitch Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 16-09-2017 10:06:04 AM  Account : Rahul1642 User : Evilfighter Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 16-09-2017 10:11:10 AM  Account : adsindia User : Scarletwitch Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 16-09-2017 10:42:58 AM  Account : arjun11 User : Asguardian Reward: 9772;32;646454;0;, RB: 10, Item Used:9668 Item Replaced:9668;35;17;0; 
Date: 16-09-2017 10:46:28 AM  Account : iamwar User : Shivaji Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;35;17;0; 
Date: 16-09-2017 11:37:12 AM  Account : adsindia User : Scarletwitch Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 16-09-2017 12:04:45 PM  Account : dhananjay User : Epic Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 16-09-2017 12:08:28 PM  Account : parth123 User : Bajirao Reward: 9772;32;646454;0;, RB: 13, Item Used:9682 Item Replaced:9682;32;17;0; 
Date: 16-09-2017 12:19:33 PM  Account : cherry User : Vengeance Reward: 9772;32;646454;0;, RB: 13, Item Used:9682 Item Replaced:9682;34;5;0; 
Date: 16-09-2017 12:22:34 PM  Account : cherry User : Vengeance Reward: 9772;32;646454;0;, RB: 14, Item Used:9683 Item Replaced:9683;33;5;0; 
Date: 16-09-2017 12:26:29 PM  Account : cherry User : Vengeance Reward: 9772;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;34;5;0; 
Date: 16-09-2017 03:06:24 PM  Account : Rahul1642 User : Evilfighter Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 16-09-2017 03:15:25 PM  Account : aa1234aa User : Nqwadkjja Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 16-09-2017 03:54:55 PM  Account : opwalac User : Missmadona Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 16-09-2017 04:50:33 PM  Account : opwalac User : Missmadona Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 16-09-2017 06:34:15 PM  Account : sunnya3 User : Evilinside Reward: 9772;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;34;17;0; 
Date: 16-09-2017 06:44:54 PM  Account : holy001 User : Robinhood Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;34;1091;0; 
Date: 16-09-2017 08:21:30 PM  Account : looool1 User : Angels Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 16-09-2017 10:05:53 PM  Account : vetri19 User : Bounty Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 16-09-2017 11:57:14 PM  Account : gundeep9 User : Bulma Reward: -, RB: 1, Item Used:none Item Replaced:none 
