Date: 17-09-2017 01:38:38 AM  Account : piyush4 User : Elizabeth Reward: 9772;32;646454;0;, RB: 16, Item Used:9650 Item Replaced:9650;33;36746;0; 
Date: 17-09-2017 11:57:06 AM  Account : shanky User : Xplodeee Reward: 9772;32;646454;0;, RB: 14, Item Used:9683 Item Replaced:9683;34;4;0; 
Date: 17-09-2017 12:22:49 PM  Account : priyansb User : Lovelyqueen Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 17-09-2017 01:56:35 PM  Account : gundeep9 User : Bulma Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 17-09-2017 04:01:32 PM  Account : mike0099 User : Mike Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 17-09-2017 05:10:22 PM  Account : danylove User : Shlokaa Reward: 9772;32;646454;0;, RB: 8, Item Used:9665 Item Replaced:9665;33;17;0; 
Date: 17-09-2017 06:16:54 PM  Account : vetri19 User : Bounty Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 17-09-2017 06:34:59 PM  Account : mike0099 User : Mike Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 17-09-2017 08:19:45 PM  Account : mike0099 User : Mike Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 17-09-2017 10:15:40 PM  Account : mike0099 User : Mike Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 17-09-2017 10:24:32 PM  Account : rdpaul7 User : Foxxy Reward: 9772;32;646454;0;, RB: 15, Item Used:9649 Item Replaced:9649;33;17;0; 
Date: 17-09-2017 11:41:32 PM  Account : hackin User : Angrybird Reward: -, RB: 2, Item Used:none Item Replaced:none 
