Date: 02-09-2017 07:19:15 AM  Account : opwala User : Screwdown Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 02-09-2017 10:40:10 AM  Account : koolakash User : Arrowfighter Reward: 9772;32;646454;0;, RB: 11, Item Used:9669 Item Replaced:9669;34;197738;0; 
Date: 02-09-2017 11:49:13 AM  Account : spirit User : Redace Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 02-09-2017 12:25:59 PM  Account : white155 User : Blueheaven Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 02-09-2017 12:54:58 PM  Account : hhimanshu User : Archerrocks Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 02-09-2017 01:16:35 PM  Account : white155 User : Blueheaven Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 02-09-2017 03:48:43 PM  Account : rozer22 User : Godmax Reward: 9772;32;646454;0;, RB: 10, Item Used:9668 Item Replaced:9668;34;33911;0; 
Date: 02-09-2017 06:03:29 PM  Account : shanky User : Xplodeee Reward: 9772;32;646454;0;, RB: 13, Item Used:9682 Item Replaced:9682;35;5;0; 
Date: 02-09-2017 06:19:05 PM  Account : white155 User : Blueheaven Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 02-09-2017 06:54:27 PM  Account : khatriji User : Mommagic Reward: 9772;32;646454;0;, RB: 7, Item Used:9664 Item Replaced:9664;35;17;0; 
Date: 02-09-2017 07:36:55 PM  Account : white155 User : Blueheaven Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 02-09-2017 11:26:15 PM  Account : iamwar User : Shivaji Reward: -, RB: 5, Item Used:none Item Replaced:none 
